cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T02:07:23.269021,0.4,69.3,0.00,False,NONE,2,2
2,2026-07-22T02:07:28.608831,5.7,67.4,0.00,False,NONE,2,2
3,2026-07-22T02:07:33.939907,11.0,64.8,0.00,False,NONE,3,3
4,2026-07-22T02:07:39.252265,16.4,60.8,0.00,False,NONE,5,5
5,2026-07-22T02:07:44.550453,21.7,58.4,0.00,False,NONE,2,2
6,2026-07-22T02:07:49.924185,27.0,69.8,0.00,False,NONE,2,2
7,2026-07-22T02:07:55.224343,32.3,58.9,0.00,False,NONE,2,2
8,2026-07-22T02:08:00.553005,37.7,60.7,0.00,False,NONE,2,2
9,2026-07-22T02:08:05.877245,43.0,63.7,0.00,False,NONE,2,2
10,2026-07-22T02:08:11.196829,48.3,62.8,0.00,False,NONE,2,2
11,2026-07-22T02:08:16.509457,53.6,59.3,0.00,False,NONE,2,2
12,2026-07-22T02:08:21.883831,59.0,69.5,0.00,False,NONE,2,2
13,2026-07-22T02:08:28.579090,65.7,331.2,0.00,True,SCALE_UP,2,17
14,2026-07-22T02:08:34.802160,71.9,241.4,0.00,True,SCALE_UP,2,12
15,2026-07-22T02:08:41.460478,78.6,328.4,0.00,True,SCALE_UP,2,12
16,2026-07-22T02:08:48.147603,85.3,330.8,0.00,True,SCALE_UP,4,15
17,2026-07-22T02:08:54.851326,92.0,333.5,0.00,True,SCALE_UP,2,12
18,2026-07-22T02:09:01.097467,98.2,241.0,0.00,True,SCALE_UP,2,13
19,2026-07-22T02:09:07.756645,104.9,328.3,0.00,True,SCALE_UP,2,14
20,2026-07-22T02:09:13.997974,111.1,240.6,0.00,True,SCALE_UP,3,14
21,2026-07-22T02:09:20.700888,117.8,331.3,0.00,True,SCALE_UP,2,17
22,2026-07-22T02:09:26.037181,123.1,66.1,0.00,False,NONE,2,2
23,2026-07-22T02:09:31.364966,128.5,62.2,0.00,False,NONE,2,2
24,2026-07-22T02:09:36.673171,133.8,60.6,0.00,False,NONE,2,2
25,2026-07-22T02:09:42.005104,139.1,65.3,0.00,False,NONE,2,2
26,2026-07-22T02:09:47.366203,144.5,71.1,0.00,False,NONE,2,2
27,2026-07-22T02:09:53.137863,150.2,153.2,0.00,True,NONE,2,2
28,2026-07-22T02:09:58.385270,155.5,45.6,0.40,True,RETRY,2,2
29,2026-07-22T02:10:03.576274,160.7,37.0,0.40,True,RETRY,2,2
30,2026-07-22T02:10:09.859633,167.0,248.4,0.00,True,SCALE_UP,2,14
31,2026-07-22T02:10:16.519608,173.6,328.6,0.00,True,SCALE_UP,2,13
32,2026-07-22T02:10:21.748666,178.9,44.6,0.40,True,RETRY,2,2
33,2026-07-22T02:10:26.958372,184.1,40.9,0.40,True,RETRY,2,2
34,2026-07-22T02:10:32.247855,189.4,56.8,0.20,True,RETRY,2,2
35,2026-07-22T02:10:38.945121,196.1,335.4,0.00,True,SCALE_UP,4,16
36,2026-07-22T02:10:43.989958,201.1,4.2,1.00,True,FALLBACK,2,2
37,2026-07-22T02:10:49.244859,206.4,47.7,0.20,True,RETRY,2,2
38,2026-07-22T02:10:54.488193,211.6,47.5,0.20,True,RETRY,2,2
39,2026-07-22T02:10:59.691761,216.8,36.8,0.40,True,RETRY,2,2
40,2026-07-22T02:11:05.011650,222.1,62.9,0.00,False,NONE,2,2
41,2026-07-22T02:11:11.701557,228.8,334.5,0.00,True,SCALE_UP,2,13
42,2026-07-22T02:11:16.891652,234.0,36.8,0.40,True,RETRY,2,2
43,2026-07-22T02:11:23.580160,240.7,334.6,0.00,True,SCALE_UP,2,12
44,2026-07-22T02:11:28.914087,246.0,65.7,0.00,False,NONE,2,2
45,2026-07-22T02:11:34.170284,251.3,50.0,0.20,True,RETRY,2,2
46,2026-07-22T02:11:40.378992,257.5,238.4,0.00,True,SCALE_UP,2,13
47,2026-07-22T02:11:47.962914,265.1,513.3,0.00,True,SCALE_UP,2,14
48,2026-07-22T02:11:53.264393,270.4,59.2,0.00,False,NONE,2,2
49,2026-07-22T02:12:00.823992,277.9,508.5,0.00,True,SCALE_UP,2,13
50,2026-07-22T02:12:06.049957,283.2,40.4,0.40,True,RETRY,2,2
51,2026-07-22T02:12:11.361755,288.5,58.4,0.00,False,NONE,2,2
52,2026-07-22T02:12:16.629299,293.7,52.2,0.20,True,RETRY,3,3
53,2026-07-22T02:12:22.689112,299.8,208.4,0.00,True,SCALE_UP,2,13
54,2026-07-22T02:12:30.274657,307.4,513.8,0.00,True,SCALE_UP,2,13
55,2026-07-22T02:12:37.110764,314.2,363.9,0.00,True,SCALE_UP,3,13
56,2026-07-22T02:12:42.318226,319.4,36.6,0.40,True,RETRY,2,2
57,2026-07-22T02:12:47.608960,324.7,52.5,0.20,True,RETRY,2,2
58,2026-07-22T02:12:52.869168,330.0,50.9,0.20,True,RETRY,2,2
59,2026-07-22T02:13:03.169519,340.3,1050.8,0.20,True,SCALE_UP,3,19
60,2026-07-22T02:13:14.320708,351.4,1226.3,0.20,True,SCALE_UP,2,16
61,2026-07-22T02:13:25.595173,362.7,1251.7,0.20,True,SCALE_UP,2,12
62,2026-07-22T02:13:34.849584,372.0,847.7,0.40,True,SCALE_UP,2,12
63,2026-07-22T02:13:46.792709,383.9,1385.5,0.20,True,SCALE_UP,2,12
64,2026-07-22T02:13:57.867931,395.0,1211.8,0.20,True,SCALE_UP,2,13
65,2026-07-22T02:14:08.988220,406.1,1220.9,0.20,True,SCALE_UP,2,13
66,2026-07-22T02:14:20.804554,417.9,1357.6,0.00,True,SCALE_UP,2,14
67,2026-07-22T02:14:30.766377,427.9,989.0,0.20,True,SCALE_UP,2,13
68,2026-07-22T02:14:43.042990,440.2,1451.7,0.00,True,SCALE_UP,2,14
69,2026-07-22T02:14:54.861304,452.0,1360.5,0.00,True,SCALE_UP,2,12
70,2026-07-22T02:15:08.211782,465.3,1666.9,0.00,True,SCALE_UP,2,12
71,2026-07-22T02:15:20.909857,478.0,1536.4,0.00,True,SCALE_UP,2,13
72,2026-07-22T02:15:32.657936,489.8,1346.3,0.00,True,SCALE_UP,2,13
73,2026-07-22T02:15:48.931876,506.0,2251.5,0.20,True,SCALE_UP,2,12
74,2026-07-22T02:15:55.697581,512.8,349.8,0.20,True,SCALE_UP,2,13
75,2026-07-22T02:16:00.952882,518.1,47.6,0.20,True,RETRY,2,2
76,2026-07-22T02:16:06.272546,523.4,58.5,0.00,False,NONE,2,2
77,2026-07-22T02:16:12.121686,529.2,168.6,0.80,True,FALLBACK,2,2
78,2026-07-22T02:16:17.348850,534.5,44.4,0.40,True,RETRY,2,2
79,2026-07-22T02:16:22.648661,539.8,58.8,0.00,False,NONE,2,2
80,2026-07-22T02:16:27.947389,545.1,58.6,0.00,False,NONE,2,2
81,2026-07-22T02:16:33.246644,550.4,58.8,0.00,False,NONE,2,2
82,2026-07-22T02:16:38.493614,555.6,48.2,0.20,True,RETRY,2,2
83,2026-07-22T02:16:45.306040,562.4,361.3,0.60,True,FALLBACK,2,2
84,2026-07-22T02:16:51.622565,568.7,262.1,1.00,True,FALLBACK,2,2
85,2026-07-22T02:17:02.998042,580.1,1270.8,1.00,True,FALLBACK,2,2
86,2026-07-22T02:17:12.368869,589.5,870.8,1.00,True,FALLBACK,2,2
87,2026-07-22T02:17:18.563090,595.7,232.8,1.00,True,FALLBACK,2,2
88,2026-07-22T02:17:33.662325,610.8,2015.9,1.00,True,FALLBACK,2,2
89,2026-07-22T02:17:45.005293,622.1,1267.4,1.00,True,FALLBACK,2,2
90,2026-07-22T02:17:52.336038,629.4,462.9,0.60,True,FALLBACK,2,2
91,2026-07-22T02:17:57.641193,634.7,59.7,0.00,False,NONE,2,2
92,2026-07-22T02:18:02.954681,640.1,59.0,0.00,False,NONE,3,3
93,2026-07-22T02:18:08.230337,645.3,51.4,0.20,True,RETRY,2,2
94,2026-07-22T02:18:13.531671,650.6,59.1,0.00,False,NONE,2,2
95,2026-07-22T02:18:18.860144,656.0,64.6,0.00,False,NONE,2,2
96,2026-07-22T02:18:24.088327,661.2,44.4,0.40,True,RETRY,2,2
97,2026-07-22T02:18:30.226244,667.3,223.6,0.00,True,SCALE_UP,2,16
98,2026-07-22T02:18:35.568880,672.7,67.4,0.00,False,NONE,2,2
99,2026-07-22T02:18:43.146794,680.3,512.2,0.00,True,SCALE_UP,2,13
100,2026-07-22T02:18:48.345956,685.5,38.4,0.40,True,RETRY,3,3
101,2026-07-22T02:18:53.551038,690.7,36.7,0.40,True,RETRY,2,2
102,2026-07-22T02:18:58.807690,695.9,50.2,0.20,True,RETRY,2,2
103,2026-07-22T02:19:04.050526,701.2,47.5,0.20,True,RETRY,2,2
104,2026-07-22T02:19:09.170781,706.3,19.4,0.80,True,FALLBACK,2,2
105,2026-07-22T02:19:14.438431,711.5,52.4,0.20,True,RETRY,2,2
106,2026-07-22T02:19:19.755654,716.9,62.3,0.00,False,NONE,2,2
107,2026-07-22T02:19:25.024668,722.1,49.7,0.20,True,RETRY,2,2
108,2026-07-22T02:19:32.648530,729.8,518.6,0.00,True,SCALE_UP,3,14
109,2026-07-22T02:19:39.386769,736.5,342.1,0.40,True,SCALE_UP,2,13
110,2026-07-22T02:19:44.706980,741.8,63.0,0.00,False,NONE,2,2
111,2026-07-22T02:20:00.311101,757.4,2119.5,1.00,True,FALLBACK,2,2
112,2026-07-22T02:20:09.727455,766.8,881.9,1.00,True,FALLBACK,3,3
113,2026-07-22T02:20:25.067420,782.2,2063.3,1.00,True,FALLBACK,2,2
114,2026-07-22T02:20:34.293885,791.4,841.0,1.00,True,FALLBACK,2,2
115,2026-07-22T02:20:43.548720,800.7,849.7,1.00,True,FALLBACK,2,2
116,2026-07-22T02:20:52.086666,809.2,703.0,0.00,True,SCALE_UP,3,19
117,2026-07-22T02:21:01.175741,818.3,814.3,0.00,True,SCALE_UP,2,13
118,2026-07-22T02:21:09.767528,826.9,715.0,0.00,True,SCALE_UP,2,13
119,2026-07-22T02:21:16.089493,833.2,261.1,0.00,True,SCALE_UP,2,13
120,2026-07-22T02:21:22.919027,840.0,362.1,0.00,True,SCALE_UP,2,15
121,2026-07-22T02:21:29.726731,846.8,358.4,0.00,True,SCALE_UP,2,12
122,2026-07-22T02:21:35.025410,852.1,58.7,0.00,False,NONE,2,2
123,2026-07-22T02:21:40.359456,857.5,65.7,0.00,False,NONE,2,2
124,2026-07-22T02:21:45.637862,862.7,52.4,0.20,True,RETRY,2,2
125,2026-07-22T02:21:50.981560,868.1,67.7,0.00,False,NONE,2,2
126,2026-07-22T02:21:56.154074,873.3,31.1,0.60,True,FALLBACK,2,2
127,2026-07-22T02:22:01.361535,878.5,37.0,0.40,True,RETRY,2,2
128,2026-07-22T02:22:06.612649,883.7,49.2,0.20,True,RETRY,2,2
129,2026-07-22T02:22:13.368856,890.5,347.8,0.20,True,SCALE_UP,2,14
130,2026-07-22T02:22:20.970176,898.1,514.7,0.00,True,SCALE_UP,3,13
131,2026-07-22T02:22:26.119760,903.2,28.9,0.60,True,FALLBACK,2,2
