cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T03:13:56.776172,0.4,71.8,0.00,False,NONE,2,2
2,2026-07-22T03:14:02.143899,5.8,71.2,0.00,False,NONE,2,2
3,2026-07-22T03:14:07.459098,11.1,58.4,0.00,False,NONE,2,2
4,2026-07-22T03:14:12.755541,16.4,58.2,0.00,False,NONE,2,2
5,2026-07-22T03:14:18.080500,21.7,63.9,0.00,False,NONE,2,2
6,2026-07-22T03:14:23.414661,27.0,62.1,0.00,False,NONE,2,2
7,2026-07-22T03:14:28.736461,32.4,63.4,0.00,False,NONE,2,2
8,2026-07-22T03:14:34.083903,37.7,64.3,0.00,False,NONE,2,2
9,2026-07-22T03:14:39.405567,43.0,63.2,0.00,False,NONE,2,2
10,2026-07-22T03:14:44.716663,48.3,61.2,0.00,False,NONE,2,2
11,2026-07-22T03:14:50.049717,53.7,61.2,0.00,False,NONE,2,2
12,2026-07-22T03:14:55.365651,59.0,58.4,0.00,False,NONE,2,2
13,2026-07-22T03:15:02.026958,65.6,328.4,0.00,True,SCALE_UP,2,16
14,2026-07-22T03:15:07.387505,71.0,66.3,0.00,False,NONE,2,2
15,2026-07-22T03:15:12.701326,76.3,58.6,0.00,False,NONE,2,2
16,2026-07-22T03:15:18.001683,81.6,59.0,0.00,False,NONE,2,2
17,2026-07-22T03:15:23.300621,86.9,58.7,0.00,False,NONE,2,2
18,2026-07-22T03:15:29.966663,93.6,330.0,0.00,True,SCALE_UP,2,12
19,2026-07-22T03:15:35.284663,98.9,62.4,0.00,False,NONE,2,2
20,2026-07-22T03:15:41.542804,105.2,246.4,0.00,True,SCALE_UP,2,12
21,2026-07-22T03:15:46.872199,110.5,62.3,0.00,False,NONE,2,2
22,2026-07-22T03:15:53.552520,117.2,332.6,0.00,True,SCALE_UP,2,13
23,2026-07-22T03:16:00.210675,123.8,328.6,0.00,True,SCALE_UP,2,12
24,2026-07-22T03:16:05.522376,129.1,61.2,0.00,False,NONE,2,2
25,2026-07-22T03:16:10.879701,134.5,65.8,0.00,False,NONE,2,2
26,2026-07-22T03:16:17.131123,140.7,243.7,0.00,True,SCALE_UP,2,12
27,2026-07-22T03:16:22.451270,146.1,62.9,0.00,False,NONE,2,2
28,2026-07-22T03:16:27.767437,151.4,58.6,0.00,False,NONE,2,2
29,2026-07-22T03:16:33.019539,156.6,47.0,0.40,True,RETRY,2,2
30,2026-07-22T03:16:38.630148,162.2,118.7,0.60,True,FALLBACK,2,2
31,2026-07-22T03:16:43.979827,167.6,63.8,0.00,False,NONE,2,2
32,2026-07-22T03:16:49.318067,172.9,66.6,0.00,False,NONE,2,2
33,2026-07-22T03:16:55.543316,179.2,241.8,0.00,True,SCALE_UP,2,13
34,2026-07-22T03:17:00.750020,184.4,36.7,0.40,True,RETRY,2,2
35,2026-07-22T03:17:07.447376,191.1,331.8,0.00,True,SCALE_UP,2,13
36,2026-07-22T03:17:12.763008,196.4,58.3,0.00,False,NONE,2,2
37,2026-07-22T03:17:18.862305,202.5,216.7,0.40,True,SCALE_UP,2,12
38,2026-07-22T03:17:24.161207,207.8,58.6,0.00,False,NONE,2,2
39,2026-07-22T03:17:30.371692,214.0,238.7,0.00,True,SCALE_UP,2,13
40,2026-07-22T03:17:36.185467,219.8,157.0,0.00,True,NONE,2,2
41,2026-07-22T03:17:41.500914,225.1,62.0,0.00,False,NONE,2,2
42,2026-07-22T03:17:46.799735,230.4,58.6,0.00,False,NONE,2,2
43,2026-07-22T03:17:53.020126,236.6,240.9,0.00,True,SCALE_UP,2,12
44,2026-07-22T03:17:58.385463,242.0,67.5,0.00,False,NONE,3,3
45,2026-07-22T03:18:05.232854,248.8,362.4,0.00,True,SCALE_UP,2,12
46,2026-07-22T03:18:11.496936,255.1,245.4,0.00,True,SCALE_UP,2,13
47,2026-07-22T03:18:16.841858,260.5,63.0,0.00,False,NONE,2,2
48,2026-07-22T03:18:23.061501,266.7,240.9,0.00,True,SCALE_UP,2,12
49,2026-07-22T03:18:29.741063,273.4,332.5,0.00,True,SCALE_UP,2,13
50,2026-07-22T03:18:36.410122,280.0,330.7,0.00,True,SCALE_UP,2,12
51,2026-07-22T03:18:43.068878,286.7,328.6,0.00,True,SCALE_UP,2,12
52,2026-07-22T03:18:49.786649,293.4,336.4,0.00,True,SCALE_UP,2,12
53,2026-07-22T03:18:57.361351,301.0,508.6,0.00,True,SCALE_UP,2,12
54,2026-07-22T03:19:04.924031,308.5,509.3,0.00,True,SCALE_UP,2,12
55,2026-07-22T03:19:10.236726,313.9,60.9,0.00,False,NONE,3,3
56,2026-07-22T03:19:16.466193,320.1,242.8,0.00,True,SCALE_UP,2,12
57,2026-07-22T03:19:21.787338,325.4,58.4,0.00,False,NONE,3,3
58,2026-07-22T03:19:28.471086,332.1,332.7,0.00,True,SCALE_UP,2,17
59,2026-07-22T03:19:40.209959,343.8,1341.2,0.00,True,SCALE_UP,2,13
60,2026-07-22T03:19:53.785028,357.4,1711.9,0.00,True,SCALE_UP,2,12
61,2026-07-22T03:20:05.887841,369.5,1417.1,0.00,True,SCALE_UP,2,14
62,2026-07-22T03:20:18.205903,381.8,1460.4,0.00,True,SCALE_UP,2,12
63,2026-07-22T03:20:30.521282,394.1,1459.9,0.00,True,SCALE_UP,2,13
64,2026-07-22T03:20:43.371568,407.0,1566.9,0.00,True,SCALE_UP,2,12
