cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T01:50:47.572749,0.4,70.6,0.00,False,NONE,2,2
2,2026-07-22T01:50:52.920060,5.7,69.1,0.00,False,NONE,2,2
3,2026-07-22T01:50:58.217466,11.0,58.4,0.00,False,NONE,2,2
4,2026-07-22T01:51:03.535819,16.3,62.6,0.00,False,NONE,2,2
5,2026-07-22T01:51:08.854385,21.6,62.6,0.00,False,NONE,2,2
6,2026-07-22T01:51:14.175405,27.0,62.9,0.00,False,NONE,2,2
7,2026-07-22T01:51:19.496725,32.3,60.9,0.00,False,NONE,2,2
8,2026-07-22T01:51:24.792896,37.6,58.1,0.00,False,NONE,2,2
9,2026-07-22T01:51:30.109484,42.9,58.3,0.00,False,NONE,2,2
10,2026-07-22T01:51:35.429496,48.2,62.9,0.00,False,NONE,2,2
11,2026-07-22T01:51:40.768006,53.6,62.9,0.00,False,NONE,2,2
12,2026-07-22T01:51:46.127346,58.9,66.7,0.00,False,NONE,3,3
13,2026-07-22T01:51:51.446694,64.2,62.8,0.00,False,NONE,2,2
14,2026-07-22T01:51:57.676380,70.5,241.5,0.00,True,SCALE_UP,2,19
15,2026-07-22T01:52:04.346639,77.1,330.4,0.00,True,SCALE_UP,2,14
16,2026-07-22T01:52:09.684538,82.5,61.8,0.00,False,NONE,2,2
17,2026-07-22T01:52:15.926250,88.7,240.6,0.00,True,SCALE_UP,2,13
18,2026-07-22T01:52:22.145265,94.9,240.5,0.00,True,SCALE_UP,2,13
19,2026-07-22T01:52:28.365453,101.2,240.6,0.00,True,SCALE_UP,2,13
20,2026-07-22T01:52:34.576796,107.4,238.6,0.00,True,SCALE_UP,2,14
21,2026-07-22T01:52:41.265675,114.1,330.9,0.00,True,SCALE_UP,2,13
22,2026-07-22T01:52:47.476876,120.3,238.6,0.00,True,SCALE_UP,2,14
23,2026-07-22T01:52:52.785374,125.6,60.3,0.00,False,NONE,3,3
24,2026-07-22T01:52:58.134777,130.9,68.8,0.00,False,NONE,2,2
25,2026-07-22T01:53:03.432619,136.2,58.4,0.00,False,NONE,2,2
26,2026-07-22T01:53:10.104022,142.9,330.5,0.00,True,SCALE_UP,2,15
27,2026-07-22T01:53:15.438973,148.2,61.5,0.00,False,NONE,3,3
28,2026-07-22T01:53:20.776989,153.6,62.9,0.00,False,NONE,2,2
29,2026-07-22T01:53:26.110538,158.9,60.7,0.00,False,NONE,2,2
30,2026-07-22T01:53:31.836007,164.6,143.8,0.20,True,RETRY,3,3
31,2026-07-22T01:53:37.152579,169.9,62.1,0.00,False,NONE,3,3
32,2026-07-22T01:53:42.529572,175.3,74.1,0.00,False,NONE,2,2
33,2026-07-22T01:53:47.844672,180.6,61.8,0.00,False,NONE,2,2
34,2026-07-22T01:53:54.052178,186.8,238.3,0.20,True,SCALE_UP,2,12
35,2026-07-22T01:53:59.352367,192.1,58.9,0.00,False,NONE,2,2
36,2026-07-22T01:54:04.994001,197.8,127.1,0.40,True,RETRY,3,3
37,2026-07-22T01:54:10.292109,203.1,58.4,0.00,False,NONE,3,3
38,2026-07-22T01:54:15.605752,208.4,61.3,0.00,False,NONE,3,3
39,2026-07-22T01:54:21.831232,214.6,241.7,0.00,True,SCALE_UP,2,13
40,2026-07-22T01:54:27.165778,220.0,61.2,0.00,False,NONE,2,2
41,2026-07-22T01:54:32.952122,225.7,151.2,0.00,True,NONE,2,2
42,2026-07-22T01:54:38.268865,231.1,58.6,0.00,False,NONE,2,2
43,2026-07-22T01:54:44.490022,237.3,238.1,0.00,True,SCALE_UP,2,12
44,2026-07-22T01:54:51.150862,243.9,328.3,0.00,True,SCALE_UP,2,15
45,2026-07-22T01:54:56.472268,249.3,63.1,0.00,False,NONE,2,2
46,2026-07-22T01:55:04.081039,256.9,515.6,0.00,True,SCALE_UP,2,13
47,2026-07-22T01:55:12.257602,265.0,628.3,0.00,True,SCALE_UP,2,12
48,2026-07-22T01:55:18.938806,271.7,333.0,0.00,True,SCALE_UP,2,12
49,2026-07-22T01:55:25.599641,278.4,328.7,0.00,True,SCALE_UP,2,14
50,2026-07-22T01:55:32.429781,285.2,358.7,0.00,True,SCALE_UP,3,16
51,2026-07-22T01:55:39.089709,291.9,328.5,0.00,True,SCALE_UP,2,14
52,2026-07-22T01:55:45.934079,298.7,365.6,0.00,True,SCALE_UP,2,13
53,2026-07-22T01:55:53.509396,306.3,511.2,0.00,True,SCALE_UP,2,15
54,2026-07-22T01:55:59.759128,312.5,242.5,0.00,True,SCALE_UP,2,13
55,2026-07-22T01:56:06.004495,318.8,242.2,0.00,True,SCALE_UP,3,16
56,2026-07-22T01:56:11.335110,324.1,64.9,0.00,False,NONE,2,2
57,2026-07-22T01:56:17.546927,330.3,238.7,0.00,True,SCALE_UP,2,14
58,2026-07-22T01:56:30.734982,343.5,1634.1,0.00,True,SCALE_UP,2,13
59,2026-07-22T01:56:43.788853,356.6,1601.9,0.00,True,SCALE_UP,3,15
60,2026-07-22T01:56:57.245593,370.0,1688.1,0.00,True,SCALE_UP,2,13
61,2026-07-22T01:57:10.799231,383.6,1705.1,0.00,True,SCALE_UP,2,13
62,2026-07-22T01:57:23.737649,396.5,1584.2,0.00,True,SCALE_UP,2,13
63,2026-07-22T01:57:36.452074,409.2,1539.5,0.00,True,SCALE_UP,2,13
64,2026-07-22T01:57:50.132380,422.9,1732.8,0.00,True,SCALE_UP,2,12
65,2026-07-22T01:58:03.193542,436.0,1608.3,0.00,True,SCALE_UP,3,16
66,2026-07-22T01:58:16.780714,449.6,1714.3,0.00,True,SCALE_UP,2,12
67,2026-07-22T01:58:31.587345,464.4,1958.2,0.00,True,SCALE_UP,2,12
68,2026-07-22T01:58:43.946709,476.7,1468.6,0.00,True,SCALE_UP,2,13
69,2026-07-22T01:58:56.532407,489.3,1513.7,0.00,True,SCALE_UP,2,13
70,2026-07-22T01:59:13.436109,506.2,2374.5,0.20,True,SCALE_UP,2,12
71,2026-07-22T01:59:20.094313,512.9,328.4,0.00,True,SCALE_UP,2,12
72,2026-07-22T01:59:26.315599,519.1,240.5,0.00,True,SCALE_UP,4,15
73,2026-07-22T01:59:32.524995,525.3,238.5,0.00,True,SCALE_UP,2,13
74,2026-07-22T01:59:39.199230,532.0,331.4,0.00,True,SCALE_UP,3,13
75,2026-07-22T01:59:45.429311,538.2,238.3,0.00,True,SCALE_UP,2,13
76,2026-07-22T01:59:51.513171,544.3,213.3,0.00,True,SCALE_UP,3,14
77,2026-07-22T01:59:56.847327,549.6,61.7,0.00,False,NONE,2,2
78,2026-07-22T02:00:02.155144,554.9,60.4,0.00,False,NONE,2,2
79,2026-07-22T02:00:08.836026,561.6,332.8,0.00,True,SCALE_UP,2,13
80,2026-07-22T02:00:20.432664,573.2,1313.4,1.00,True,FALLBACK,2,2
81,2026-07-22T02:00:33.565805,586.4,1625.3,1.00,True,FALLBACK,3,3
82,2026-07-22T02:00:46.919207,599.7,1669.5,1.00,True,FALLBACK,3,3
83,2026-07-22T02:01:00.002904,612.8,1615.4,1.00,True,FALLBACK,2,2
84,2026-07-22T02:01:13.072024,625.9,1612.6,1.00,True,FALLBACK,2,2
85,2026-07-22T02:01:19.386935,632.2,254.7,0.00,True,SCALE_UP,2,19
