cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T03:47:08.534661,0.4,75.7,0.00,False,NONE,3,3
2,2026-07-22T03:47:13.846906,5.7,62.1,0.00,False,NONE,2,2
3,2026-07-22T03:47:19.183001,11.1,66.1,0.00,False,NONE,2,2
4,2026-07-22T03:47:24.522400,16.4,62.0,0.00,False,NONE,2,2
5,2026-07-22T03:47:29.832071,21.7,60.8,0.00,False,NONE,2,2
6,2026-07-22T03:47:35.147140,27.0,58.1,0.00,False,NONE,2,2
7,2026-07-22T03:47:40.478143,32.4,65.1,0.00,False,NONE,2,2
8,2026-07-22T03:47:45.796971,37.7,58.4,0.00,False,NONE,2,2
9,2026-07-22T03:47:51.109595,43.0,58.2,0.00,False,NONE,2,2
10,2026-07-22T03:47:56.407147,48.3,58.5,0.00,False,NONE,2,2
11,2026-07-22T03:48:01.705036,53.6,58.5,0.00,False,NONE,2,2
12,2026-07-22T03:48:07.015156,58.9,60.8,0.00,False,NONE,2,2
13,2026-07-22T03:48:12.313724,64.2,58.6,0.00,False,NONE,2,2
14,2026-07-22T03:48:17.648814,69.5,65.9,0.00,False,NONE,2,2
15,2026-07-22T03:48:24.330355,76.2,332.1,0.00,True,SCALE_UP,2,17
16,2026-07-22T03:48:29.640544,81.5,60.7,0.00,False,NONE,3,3
17,2026-07-22T03:48:36.343545,88.2,337.0,0.00,True,SCALE_UP,2,15
18,2026-07-22T03:48:41.641304,93.5,58.5,0.00,False,NONE,2,2
19,2026-07-22T03:48:46.985691,98.9,67.8,0.00,False,NONE,2,2
20,2026-07-22T03:48:52.311240,104.2,64.0,0.00,False,NONE,2,2
21,2026-07-22T03:48:57.631290,109.5,63.0,0.00,False,NONE,2,2
22,2026-07-22T03:49:02.929244,114.8,58.4,0.00,False,NONE,2,2
23,2026-07-22T03:49:08.282887,120.2,65.2,0.00,False,NONE,2,2
24,2026-07-22T03:49:13.582526,125.5,58.7,0.00,False,NONE,2,2
25,2026-07-22T03:49:18.915038,130.8,62.6,0.00,False,NONE,2,2
26,2026-07-22T03:49:24.224009,136.1,60.7,0.00,False,NONE,2,2
27,2026-07-22T03:49:29.563096,141.4,62.4,0.00,False,NONE,2,2
28,2026-07-22T03:49:36.231334,148.1,330.3,0.00,True,SCALE_UP,2,13
29,2026-07-22T03:49:42.453447,154.3,238.0,0.00,True,SCALE_UP,2,12
30,2026-07-22T03:49:48.662796,160.5,235.3,0.20,True,SCALE_UP,2,12
31,2026-07-22T03:49:53.853881,165.7,37.2,0.40,True,RETRY,2,2
