cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T02:24:02.652729,0.3,67.8,0.00,False,NONE,2,2
2,2026-07-22T02:24:07.978848,5.7,61.7,0.00,False,NONE,2,2
3,2026-07-22T02:24:13.313304,11.0,65.8,0.00,False,NONE,2,2
4,2026-07-22T02:24:18.650387,16.3,61.4,0.00,False,NONE,2,2
5,2026-07-22T02:24:23.982834,21.7,65.4,0.00,False,NONE,2,2
6,2026-07-22T02:24:29.315707,27.0,61.3,0.00,False,NONE,2,2
7,2026-07-22T02:24:34.628332,32.3,61.3,0.00,False,NONE,2,2
8,2026-07-22T02:24:39.945772,37.6,62.3,0.00,False,NONE,2,2
9,2026-07-22T02:24:45.241990,42.9,58.1,0.00,False,NONE,2,2
10,2026-07-22T02:24:50.549949,48.2,58.0,0.00,False,NONE,2,2
11,2026-07-22T02:24:55.880926,53.6,62.8,0.00,False,NONE,2,2
12,2026-07-22T02:25:01.221607,58.9,62.5,0.00,False,NONE,2,2
13,2026-07-22T02:25:06.538445,64.2,62.2,0.00,False,NONE,2,2
14,2026-07-22T02:25:13.237975,70.9,335.5,0.00,True,SCALE_UP,2,19
15,2026-07-22T02:25:18.557193,76.3,62.8,0.00,False,NONE,2,2
16,2026-07-22T02:25:25.255559,82.9,336.4,0.00,True,SCALE_UP,2,12
17,2026-07-22T02:25:30.591688,88.3,61.5,0.00,False,NONE,2,2
18,2026-07-22T02:25:36.805033,94.5,238.7,0.00,True,SCALE_UP,2,16
19,2026-07-22T02:25:42.142228,99.8,66.1,0.00,False,NONE,3,3
20,2026-07-22T02:25:47.440738,105.1,58.4,0.00,False,NONE,3,3
21,2026-07-22T02:25:52.778403,110.5,66.2,0.00,False,NONE,3,3
22,2026-07-22T02:25:59.491514,117.2,334.4,0.00,True,SCALE_UP,2,12
23,2026-07-22T02:26:05.718104,123.4,242.0,0.00,True,SCALE_UP,2,13
24,2026-07-22T02:26:11.015947,128.7,58.5,0.00,False,NONE,2,2
25,2026-07-22T02:26:16.313952,134.0,58.5,0.00,False,NONE,2,2
26,2026-07-22T02:26:21.633677,139.3,60.4,0.00,False,NONE,2,2
27,2026-07-22T02:26:28.308590,146.0,328.4,0.00,True,SCALE_UP,2,13
28,2026-07-22T02:26:33.607328,151.3,58.5,0.00,False,NONE,2,2
29,2026-07-22T02:26:39.833794,157.5,240.7,0.00,True,SCALE_UP,2,19
30,2026-07-22T02:26:45.118421,162.8,53.8,0.20,True,RETRY,2,2
