ts,elapsed_s,latency_ms,ok,sla_violated
1784683053.558,0.1,93.6,True,False
1784683053.742,0.3,83.7,True,False
1784683053.910,0.4,67.9,True,False
1784683054.070,0.6,59.9,True,False
1784683054.231,0.8,60.3,True,False
1784683054.404,0.9,71.9,True,False
1784683054.564,1.1,60.3,True,False
1784683054.725,1.3,60.4,True,False
1784683054.885,1.4,59.7,True,False
1784683055.045,1.6,59.3,True,False
1784683055.204,1.7,59.3,True,False
1784683055.364,1.9,59.9,True,False
1784683055.524,2.1,59.8,True,False
1784683055.700,2.2,75.6,True,False
1784683055.860,2.4,59.4,True,False
1784683056.040,2.6,79.8,True,False
1784683056.199,2.7,59.2,True,False
1784683056.358,2.9,59.5,True,False
1784683056.518,3.1,59.1,True,False
1784683056.679,3.2,60.3,True,False
1784683056.838,3.4,59.1,True,False
1784683056.998,3.5,59.7,True,False
1784683057.158,3.7,59.2,True,False
1784683057.317,3.9,59.3,True,False
1784683057.477,4.0,59.2,True,False
1784683057.636,4.2,59.5,True,False
1784683057.796,4.3,59.6,True,False
1784683057.966,4.5,69.6,True,False
1784683058.126,4.7,59.6,True,False
1784683058.286,4.8,59.6,True,False
1784683058.445,5.0,59.0,True,False
1784683058.605,5.1,59.4,True,False
1784683058.765,5.3,59.7,True,False
1784683058.925,5.5,58.9,True,False
1784683059.084,5.6,59.6,True,False
1784683059.245,5.8,60.5,True,False
1784683059.427,6.0,81.9,True,False
1784683059.587,6.1,59.5,True,False
1784683059.747,6.3,59.5,True,False
1784683059.907,6.4,59.6,True,False
1784683060.067,6.6,59.9,True,False
1784683060.228,6.8,60.2,True,False
1784683060.387,6.9,59.1,True,False
1784683060.547,7.1,59.5,True,False
1784683060.707,7.2,59.6,True,False
1784683060.867,7.4,59.4,True,False
1784683061.026,7.6,59.2,True,False
1784683061.186,7.7,59.3,True,False
1784683061.346,7.9,59.7,True,False
1784683061.505,8.0,59.2,True,False
1784683061.666,8.2,59.9,True,False
1784683061.826,8.4,59.5,True,False
1784683061.986,8.5,59.4,True,False
1784683062.159,8.7,72.9,True,False
1784683062.318,8.9,59.5,True,False
1784683062.478,9.0,59.5,True,False
1784683062.638,9.2,59.4,True,False
1784683062.797,9.3,58.9,True,False
1784683062.957,9.5,59.6,True,False
1784683063.117,9.7,59.4,True,False
1784683063.277,9.8,59.4,True,False
1784683063.437,10.0,59.4,True,False
1784683063.596,10.1,59.6,True,False
1784683063.756,10.3,59.4,True,False
1784683063.916,10.5,59.4,True,False
1784683064.075,10.6,59.6,True,False
1784683064.234,10.8,58.8,True,False
1784683064.394,10.9,59.6,True,False
1784683064.555,11.1,59.7,True,False
1784683064.715,11.3,59.7,True,False
1784683064.875,11.4,60.1,True,False
1784683065.034,11.6,59.3,True,False
1784683065.194,11.7,59.6,True,False
1784683065.354,11.9,59.1,True,False
1784683065.513,12.0,59.2,True,False
1784683065.673,12.2,59.6,True,False
1784683065.832,12.4,59.4,True,False
1784683065.993,12.5,59.9,True,False
1784683066.161,12.7,68.0,True,False
1784683066.320,12.9,59.6,True,False
1784683066.480,13.0,59.4,True,False
