cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T01:17:33.846457,0.4,70.4,0.00,False,NONE,2,2
2,2026-07-22T01:17:39.162176,5.7,62.5,0.00,False,NONE,2,2
3,2026-07-22T01:17:44.481248,11.0,62.5,0.00,False,NONE,2,2
4,2026-07-22T01:17:49.794248,16.3,61.3,0.00,False,NONE,2,2
5,2026-07-22T01:17:55.096796,21.6,59.2,0.00,False,NONE,3,3
6,2026-07-22T01:18:00.398160,26.9,59.1,0.00,False,NONE,2,2
7,2026-07-22T01:18:05.712569,32.2,61.6,0.00,False,NONE,2,2
8,2026-07-22T01:18:11.073845,37.6,66.3,0.00,False,NONE,3,3
9,2026-07-22T01:18:16.375422,42.9,58.8,0.00,False,NONE,3,3
10,2026-07-22T01:18:21.679011,48.2,59.1,0.00,False,NONE,3,3
11,2026-07-22T01:18:26.982973,53.5,59.0,0.00,False,NONE,4,4
12,2026-07-22T01:18:32.326213,58.9,67.2,0.00,False,NONE,3,3
13,2026-07-22T01:18:37.640057,64.2,61.5,0.00,False,NONE,2,2
14,2026-07-22T01:18:42.949642,69.5,59.7,0.00,False,NONE,4,4
15,2026-07-22T01:18:49.621756,76.2,329.0,0.00,True,SCALE_UP,3,23
16,2026-07-22T01:18:54.954601,81.5,65.2,0.00,False,NONE,2,2
17,2026-07-22T01:19:00.276593,86.8,63.0,0.00,False,NONE,2,2
18,2026-07-22T01:19:05.599743,92.1,63.3,0.00,False,NONE,3,3
19,2026-07-22T01:19:10.901760,97.4,59.1,0.00,False,NONE,2,2
20,2026-07-22T01:19:17.577694,104.1,331.4,0.00,True,SCALE_UP,2,14
21,2026-07-22T01:19:22.882696,109.4,59.7,0.00,False,NONE,2,2
22,2026-07-22T01:19:28.202845,114.7,59.7,0.00,False,NONE,2,2
23,2026-07-22T01:19:33.509035,120.0,59.7,0.00,False,NONE,3,3
24,2026-07-22T01:19:39.726144,126.3,239.1,0.00,True,SCALE_UP,2,17
25,2026-07-22T01:19:45.061518,131.6,61.3,0.00,False,NONE,2,2
26,2026-07-22T01:19:50.362557,136.9,59.0,0.00,False,NONE,2,2
27,2026-07-22T01:19:55.663517,142.2,59.0,0.00,False,NONE,2,2
28,2026-07-22T01:20:02.342342,148.9,331.5,0.00,True,SCALE_UP,3,17
29,2026-07-22T01:20:08.584687,155.1,242.7,0.00,True,SCALE_UP,3,24
30,2026-07-22T01:20:13.857802,160.4,52.5,0.20,True,RETRY,4,4
31,2026-07-22T01:20:19.160320,165.7,59.1,0.00,False,NONE,2,2
32,2026-07-22T01:20:25.405242,171.9,243.9,0.00,True,SCALE_UP,3,20
33,2026-07-22T01:20:31.639716,178.2,242.7,0.00,True,SCALE_UP,2,16
34,2026-07-22T01:20:36.955621,183.5,59.2,0.00,False,NONE,2,2
35,2026-07-22T01:20:42.205046,188.7,48.4,0.20,True,RETRY,3,3
36,2026-07-22T01:20:47.477825,194.0,48.4,0.20,True,RETRY,2,2
37,2026-07-22T01:20:53.653296,200.2,230.7,0.20,True,SCALE_UP,2,17
38,2026-07-22T01:20:58.975424,205.5,63.1,0.00,False,NONE,2,2
39,2026-07-22T01:21:04.210129,210.7,42.2,0.40,True,RETRY,2,2
40,2026-07-22T01:21:09.962911,216.5,149.3,0.00,True,NONE,2,2
41,2026-07-22T01:21:15.310496,221.8,64.7,0.00,False,NONE,2,2
42,2026-07-22T01:21:20.611981,227.1,59.0,0.00,False,NONE,2,2
43,2026-07-22T01:21:25.945594,232.5,61.5,0.00,False,NONE,3,3
44,2026-07-22T01:21:31.277275,237.8,65.1,0.00,False,NONE,2,2
45,2026-07-22T01:21:39.744809,246.3,689.2,0.00,True,SCALE_UP,2,17
46,2026-07-22T01:21:47.944748,254.5,635.8,0.00,True,SCALE_UP,2,16
47,2026-07-22T01:21:54.184678,260.7,243.7,0.00,True,SCALE_UP,2,17
48,2026-07-22T01:22:02.653082,269.2,689.4,0.00,True,SCALE_UP,2,16
49,2026-07-22T01:22:08.889791,275.4,239.2,0.00,True,SCALE_UP,2,17
