cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T01:00:56.330863,0.4,72.3,0.00,False,NONE,3,3
2,2026-07-22T01:01:01.644010,5.7,62.0,0.00,False,NONE,2,2
3,2026-07-22T01:01:06.968705,11.0,63.6,0.00,False,NONE,2,2
4,2026-07-22T01:01:12.284420,16.3,61.7,0.00,False,NONE,3,3
5,2026-07-22T01:01:17.586861,21.6,59.1,0.00,False,NONE,2,2
6,2026-07-22T01:01:22.890837,27.0,59.5,0.00,False,NONE,2,2
7,2026-07-22T01:01:28.214670,32.3,63.4,0.00,False,NONE,2,2
8,2026-07-22T01:01:33.518250,37.6,59.3,0.00,False,NONE,2,2
9,2026-07-22T01:01:38.854662,42.9,62.0,0.00,False,NONE,2,2
10,2026-07-22T01:01:44.158722,48.2,59.2,0.00,False,NONE,3,3
11,2026-07-22T01:01:49.473838,53.5,59.2,0.00,False,NONE,2,2
12,2026-07-22T01:01:54.807681,58.9,65.4,0.00,False,NONE,2,2
13,2026-07-22T01:02:01.049091,65.1,239.1,0.00,True,SCALE_UP,3,27
14,2026-07-22T01:02:06.361668,70.4,61.2,0.00,False,NONE,2,2
15,2026-07-22T01:02:11.666338,75.7,59.5,0.00,False,NONE,3,3
16,2026-07-22T01:02:16.982272,81.0,61.8,0.00,False,NONE,2,2
17,2026-07-22T01:02:23.688396,87.7,333.4,0.00,True,SCALE_UP,2,18
18,2026-07-22T01:02:29.014645,93.1,59.2,0.00,False,NONE,2,2
19,2026-07-22T01:02:35.683760,99.7,329.1,0.00,True,SCALE_UP,2,19
20,2026-07-22T01:02:40.987122,105.0,59.3,0.00,False,NONE,2,2
21,2026-07-22T01:02:47.223720,111.3,242.9,0.00,True,SCALE_UP,2,18
22,2026-07-22T01:02:52.527617,116.6,59.4,0.00,False,NONE,2,2
23,2026-07-22T01:02:57.831878,121.9,59.3,0.00,False,NONE,3,3
24,2026-07-22T01:03:03.136665,127.2,59.4,0.00,False,NONE,3,3
25,2026-07-22T01:03:08.459200,132.5,59.7,0.00,False,NONE,3,3
26,2026-07-22T01:03:13.762171,137.8,59.1,0.00,False,NONE,2,2
27,2026-07-22T01:03:19.067249,143.1,59.6,0.00,False,NONE,3,3
28,2026-07-22T01:03:25.306055,149.4,242.6,0.00,True,SCALE_UP,3,20
29,2026-07-22T01:03:30.500720,154.6,37.7,0.40,True,RETRY,2,2
30,2026-07-22T01:03:36.718886,160.8,239.2,0.00,True,SCALE_UP,2,17
31,2026-07-22T01:03:41.873304,165.9,26.6,0.60,True,FALLBACK,2,2
32,2026-07-22T01:03:47.174503,171.2,59.0,0.00,False,NONE,2,2
33,2026-07-22T01:03:52.370441,176.4,37.8,0.40,True,RETRY,3,3
34,2026-07-22T01:03:57.672689,181.7,59.2,0.00,False,NONE,2,2
35,2026-07-22T01:04:02.933869,187.0,48.3,0.20,True,RETRY,3,3
36,2026-07-22T01:04:08.129195,192.2,37.7,0.40,True,RETRY,3,3
37,2026-07-22T01:04:13.452228,197.5,63.3,0.00,False,NONE,2,2
38,2026-07-22T01:04:18.672463,202.7,40.6,0.40,True,RETRY,2,2
39,2026-07-22T01:04:23.866140,207.9,37.5,0.40,True,RETRY,2,2
40,2026-07-22T01:04:29.169781,213.2,59.4,0.00,False,NONE,2,2
41,2026-07-22T01:04:34.472477,218.5,59.2,0.00,False,NONE,2,2
42,2026-07-22T01:04:41.172525,225.2,333.9,0.00,True,SCALE_UP,3,26
43,2026-07-22T01:04:47.389255,231.5,238.9,0.00,True,SCALE_UP,2,17
44,2026-07-22T01:04:52.694666,236.8,59.5,0.00,False,NONE,3,3
45,2026-07-22T01:04:58.789701,242.9,210.8,0.00,True,SCALE_UP,2,18
46,2026-07-22T01:05:06.368385,250.4,511.1,0.00,True,SCALE_UP,2,19
47,2026-07-22T01:05:14.553525,258.6,632.2,0.00,True,SCALE_UP,3,19
48,2026-07-22T01:05:21.241644,265.3,333.5,0.00,True,SCALE_UP,2,16
49,2026-07-22T01:05:28.223249,272.3,391.4,0.00,True,SCALE_UP,2,20
50,2026-07-22T01:05:33.525951,277.6,59.1,0.00,False,NONE,3,3
51,2026-07-22T01:05:38.842846,282.9,62.0,0.00,False,NONE,2,2
52,2026-07-22T01:05:44.170291,288.2,61.4,0.00,False,NONE,3,3
53,2026-07-22T01:05:51.010928,295.1,363.3,0.00,True,SCALE_UP,2,18
54,2026-07-22T01:05:56.315795,300.4,59.6,0.00,False,NONE,2,2
55,2026-07-22T01:06:01.619298,305.7,59.4,0.00,False,NONE,2,2
56,2026-07-22T01:06:08.441889,312.5,359.3,0.00,True,SCALE_UP,3,21
57,2026-07-22T01:06:13.775025,317.8,65.3,0.00,False,NONE,2,2
