cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-22T04:20:20.458372,0.4,77.9,0.00,False,NONE,2,2
2,2026-07-22T04:20:25.792419,5.8,67.0,0.00,False,NONE,2,2
3,2026-07-22T04:20:31.120382,11.1,64.5,0.00,False,NONE,2,2
4,2026-07-22T04:20:36.445039,16.4,61.2,0.00,False,NONE,2,2
5,2026-07-22T04:20:41.763937,21.7,62.7,0.00,False,NONE,2,2
6,2026-07-22T04:20:47.096394,27.1,63.3,0.00,False,NONE,2,2
7,2026-07-22T04:20:52.427536,32.4,65.1,0.00,False,NONE,2,2
8,2026-07-22T04:20:57.740479,37.7,61.5,0.00,False,NONE,2,2
9,2026-07-22T04:21:03.036309,43.0,58.1,0.00,False,NONE,2,2
10,2026-07-22T04:21:08.348672,48.3,57.8,0.00,False,NONE,2,2
11,2026-07-22T04:21:13.701859,53.7,66.1,0.00,False,NONE,2,2
12,2026-07-22T04:21:18.998053,59.0,58.1,0.00,False,NONE,2,2
13,2026-07-22T04:21:25.658242,65.6,328.2,0.00,True,SCALE_UP,2,16
14,2026-07-22T04:21:31.885164,71.8,238.7,0.00,True,SCALE_UP,2,12
15,2026-07-22T04:21:38.120409,78.1,241.4,0.00,True,SCALE_UP,2,14
16,2026-07-22T04:21:43.465584,83.4,63.0,0.00,False,NONE,2,2
17,2026-07-22T04:21:50.196288,90.2,337.8,0.00,True,SCALE_UP,3,14
18,2026-07-22T04:21:56.403162,96.4,238.3,0.00,True,SCALE_UP,3,12
19,2026-07-22T04:22:01.754780,101.7,64.7,0.00,False,NONE,2,2
20,2026-07-22T04:22:07.511418,107.5,150.2,0.00,True,NONE,2,2
21,2026-07-22T04:22:12.831087,112.8,58.4,0.00,False,NONE,2,2
22,2026-07-22T04:22:19.063872,119.0,238.9,0.00,True,SCALE_UP,2,12
23,2026-07-22T04:22:26.634232,126.6,511.1,0.00,True,SCALE_UP,2,11
24,2026-07-22T04:22:31.966891,131.9,63.5,0.00,False,NONE,2,2
25,2026-07-22T04:22:37.264064,137.2,58.4,0.00,False,NONE,2,2
26,2026-07-22T04:22:43.511853,143.5,242.0,0.00,True,SCALE_UP,3,13
27,2026-07-22T04:22:50.218820,150.2,334.3,0.00,True,SCALE_UP,2,11
28,2026-07-22T04:22:56.875388,156.8,328.2,0.00,True,SCALE_UP,2,12
29,2026-07-22T04:23:02.177956,162.1,54.9,0.20,True,RETRY,2,2
30,2026-07-22T04:23:07.476012,167.4,58.4,0.00,False,NONE,2,2
31,2026-07-22T04:23:12.733743,172.7,47.7,0.20,True,RETRY,2,2
32,2026-07-22T04:23:18.052940,178.0,62.7,0.00,False,NONE,2,2
33,2026-07-22T04:23:24.727410,184.7,328.4,0.00,True,SCALE_UP,2,12
34,2026-07-22T04:23:31.400643,191.4,331.2,0.00,True,SCALE_UP,3,13
35,2026-07-22T04:23:38.117868,198.1,340.0,0.00,True,SCALE_UP,2,13
36,2026-07-22T04:23:43.307584,203.3,36.8,0.40,True,RETRY,2,2
37,2026-07-22T04:23:50.881983,210.8,508.3,0.00,True,SCALE_UP,2,12
38,2026-07-22T04:23:56.198327,216.2,62.1,0.00,False,NONE,2,2
39,2026-07-22T04:24:02.423148,222.4,238.5,0.00,True,SCALE_UP,2,12
40,2026-07-22T04:24:07.504475,227.5,15.2,0.80,True,FALLBACK,2,2
41,2026-07-22T04:24:13.733033,233.7,238.4,0.00,True,SCALE_UP,3,14
42,2026-07-22T04:24:20.854098,240.8,420.9,0.00,True,SCALE_UP,3,12
43,2026-07-22T04:24:27.704747,247.7,367.0,0.40,True,SCALE_UP,2,12
44,2026-07-22T04:24:36.199152,256.2,695.8,0.00,True,SCALE_UP,2,12
45,2026-07-22T04:24:44.690949,264.7,692.9,0.00,True,SCALE_UP,2,12
46,2026-07-22T04:24:52.409467,272.4,538.4,0.00,True,SCALE_UP,2,12
47,2026-07-22T04:24:57.719226,277.7,58.3,0.00,False,NONE,2,2
