ts,elapsed_s,latency_ms,ok,sla_violated
1784693024.658,0.1,96.7,True,False
1784693024.830,0.3,72.3,True,False
1784693025.013,0.5,82.4,True,False
1784693025.172,0.6,59.0,True,False
1784693025.331,0.8,59.2,True,False
1784693025.491,0.9,59.3,True,False
1784693025.651,1.1,59.6,True,False
1784693025.811,1.3,59.9,True,False
1784693025.973,1.4,61.5,True,False
1784693026.140,1.6,66.7,True,False
1784693026.316,1.8,74.9,True,False
1784693026.485,1.9,69.6,True,False
1784693026.645,2.1,59.5,True,False
1784693026.805,2.2,59.5,True,False
1784693026.965,2.4,59.3,True,False
1784693027.124,2.6,59.1,True,False
1784693027.283,2.7,58.9,True,False
1784693027.443,2.9,59.6,True,False
1784693027.603,3.0,60.3,True,False
1784693027.763,3.2,59.3,True,False
1784693027.923,3.4,59.5,True,False
1784693028.083,3.5,59.3,True,False
1784693028.242,3.7,59.1,True,False
1784693028.403,3.8,60.0,True,False
1784693028.562,4.0,59.3,True,False
1784693028.722,4.2,58.8,True,False
1784693028.881,4.3,59.4,True,False
1784693029.042,4.5,60.3,True,False
1784693029.212,4.7,70.0,True,False
1784693029.372,4.8,59.6,True,False
1784693029.532,5.0,59.3,True,False
1784693029.691,5.1,59.6,True,False
1784693029.850,5.3,58.6,True,False
1784693030.009,5.4,58.3,True,False
1784693030.187,5.6,78.2,True,False
1784693030.356,5.8,68.9,True,False
1784693030.516,6.0,59.5,True,False
1784693030.676,6.1,59.6,True,False
1784693030.851,6.3,74.1,True,False
1784693031.010,6.4,59.3,True,False
1784693031.170,6.6,59.6,True,False
1784693031.330,6.8,59.6,True,False
1784693031.489,6.9,58.6,True,False
1784693031.648,7.1,58.9,True,False
1784693031.808,7.2,59.2,True,False
1784693031.967,7.4,59.4,True,False
1784693032.148,7.6,79.5,True,False
1784693032.307,7.7,59.3,True,False
1784693032.467,7.9,59.8,True,False
1784693032.627,8.1,59.2,True,False
1784693032.785,8.2,58.6,True,False
1784693032.944,8.4,58.7,True,False
1784693033.104,8.5,59.0,True,False
1784693033.263,8.7,59.3,True,False
1784693033.423,8.9,59.5,True,False
1784693033.583,9.0,59.2,True,False
1784693033.743,9.2,59.7,True,False
1784693033.902,9.3,59.3,True,False
1784693034.062,9.5,59.3,True,False
1784693034.221,9.7,59.0,True,False
1784693034.381,9.8,59.7,True,False
1784693034.541,10.0,59.7,True,False
1784693034.700,10.1,59.2,True,False
1784693034.860,10.3,59.5,True,False
1784693035.020,10.5,59.1,True,False
1784693035.179,10.6,59.2,True,False
1784693035.337,10.8,57.3,True,False
1784693035.517,11.0,79.1,True,False
1784693035.688,11.1,71.1,True,False
1784693035.848,11.3,59.3,True,False
1784693036.007,11.4,59.1,True,False
1784693036.166,11.6,59.0,True,False
1784693036.325,11.8,58.9,True,False
1784693036.485,11.9,59.1,True,False
1784693036.644,12.1,59.4,True,False
1784693036.804,12.2,59.6,True,False
1784693036.963,12.4,59.2,True,False
1784693037.123,12.6,59.2,True,False
1784693037.282,12.7,59.0,True,False
1784693037.442,12.9,59.5,True,False
1784693037.601,13.0,59.3,True,False
1784693037.775,13.2,73.0,True,False
1784693037.934,13.4,59.1,True,False
1784693038.115,13.6,80.4,True,False
1784693038.274,13.7,59.2,True,False
1784693038.434,13.9,59.5,True,False
1784693038.594,14.0,59.5,True,False
1784693038.753,14.2,59.4,True,False
1784693038.913,14.4,59.4,True,False
1784693039.072,14.5,59.0,True,False
1784693039.233,14.7,59.7,True,False
1784693039.392,14.8,59.3,True,False
1784693039.553,15.0,59.7,True,False
1784693039.712,15.2,59.8,True,False
1784693039.872,15.3,59.3,True,False
1784693040.032,15.5,59.5,True,False
1784693040.209,15.6,77.0,True,False
1784693040.369,15.8,59.4,True,False
1784693040.549,16.0,79.5,True,False
1784693040.708,16.1,58.8,True,False
1784693040.867,16.3,59.5,True,False
1784693041.027,16.5,59.4,True,False
1784693041.202,16.6,74.4,True,False
1784693041.361,16.8,59.6,True,False
1784693041.541,17.0,80.1,True,False
1784693041.701,17.1,59.4,True,False
1784693041.861,17.3,59.5,True,False
1784693042.021,17.5,59.5,True,False
1784693042.181,17.6,59.4,True,False
1784693042.340,17.8,59.2,True,False
1784693042.500,17.9,59.7,True,False
1784693042.659,18.1,59.2,True,False
1784693042.819,18.3,59.1,True,False
1784693042.979,18.4,59.6,True,False
1784693043.139,18.6,59.5,True,False
1784693043.299,18.7,60.2,True,False
1784693043.458,18.9,59.2,True,False
1784693043.617,19.1,59.2,True,False
1784693043.777,19.2,59.6,True,False
1784693043.937,19.4,59.4,True,False
1784693044.097,19.5,59.6,True,False
1784693044.257,19.7,59.4,True,False
1784693044.417,19.9,59.6,True,False
1784693044.576,20.0,59.4,True,False
1784693044.736,20.2,59.6,True,False
1784693044.897,20.3,59.8,True,False
1784693045.056,20.5,59.3,True,False
1784693045.215,20.7,59.1,True,False
1784693045.375,20.8,59.5,True,False
1784693045.535,21.0,59.4,True,False
1784693045.695,21.1,59.5,True,False
1784693045.854,21.3,59.1,True,False
1784693046.014,21.5,59.5,True,False
1784693046.173,21.6,59.4,True,False
1784693046.333,21.8,59.4,True,False
1784693046.493,21.9,59.6,True,False
1784693046.652,22.1,59.0,True,False
1784693046.812,22.3,59.7,True,False
1784693046.990,22.4,78.5,True,False
1784693047.150,22.6,59.4,True,False
1784693047.309,22.7,59.1,True,False
1784693047.469,22.9,59.3,True,False
1784693047.629,23.1,59.4,True,False
1784693047.789,23.2,59.5,True,False
1784693047.949,23.4,59.5,True,False
1784693048.125,23.6,76.3,True,False
1784693048.294,23.7,68.6,True,False
1784693048.454,23.9,59.9,True,False
1784693048.614,24.1,59.3,True,False
1784693048.773,24.2,59.6,True,False
1784693048.933,24.4,59.4,True,False
1784693049.092,24.5,58.9,True,False
1784693049.252,24.7,59.6,True,False
1784693049.412,24.9,59.3,True,False
1784693049.573,25.0,60.6,True,False
1784693049.733,25.2,59.4,True,False
1784693049.892,25.3,59.0,True,False
1784693050.065,25.5,72.9,True,False
1784693050.225,25.7,59.3,True,False
1784693050.385,25.8,59.9,True,False
1784693050.545,26.0,59.8,True,False
1784693050.705,26.1,59.2,True,False
1784693050.865,26.3,59.7,True,False
1784693051.024,26.5,59.5,True,False
1784693051.184,26.6,59.2,True,False
1784693051.343,26.8,58.8,True,False
1784693051.502,26.9,59.2,True,False
1784693051.662,27.1,59.4,True,False
1784693051.822,27.3,59.5,True,False
1784693051.982,27.4,59.6,True,False
1784693052.160,27.6,77.5,True,False
1784693052.330,27.8,70.0,True,False
1784693052.490,27.9,59.7,True,False
1784693052.650,28.1,59.4,True,False
1784693052.810,28.2,59.6,True,False
1784693052.970,28.4,59.8,True,False
1784693053.130,28.6,59.7,True,False
1784693053.290,28.7,59.6,True,False
1784693053.450,28.9,60.2,True,False
1784693053.610,29.0,59.2,True,False
1784693053.769,29.2,59.3,True,False
1784693053.929,29.4,59.3,True,False
1784693054.088,29.5,59.7,True,False
1784693054.261,29.7,72.6,True,False
1784693054.421,29.9,59.5,True,False
1784693054.582,30.0,59.9,True,False
1784693054.741,30.2,59.4,True,False
1784693054.901,30.3,59.4,True,False
1784693055.060,30.5,59.3,True,False
1784693055.220,30.7,59.7,True,False
1784693055.380,30.8,59.8,True,False
1784693055.540,31.0,59.5,True,False
1784693055.700,31.1,60.1,True,False
1784693055.860,31.3,59.2,True,False
1784693056.019,31.5,59.3,True,False
1784693056.179,31.6,59.3,True,False
1784693056.339,31.8,59.5,True,False
1784693056.498,31.9,59.2,True,False
1784693056.657,32.1,58.8,True,False
1784693056.826,32.3,69.4,True,False
1784693056.986,32.4,59.4,True,False
1784693057.149,32.6,62.4,True,False
1784693057.311,32.8,61.8,True,False
1784693057.474,32.9,62.8,True,False
1784693057.634,33.1,59.5,True,False
1784693057.794,33.2,59.5,True,False
1784693057.954,33.4,59.2,True,False
1784693058.113,33.6,59.2,True,False
1784693058.272,33.7,58.7,True,False
1784693058.432,33.9,59.4,True,False
1784693058.591,34.0,59.0,True,False
1784693058.768,34.2,77.3,True,False
1784693058.928,34.4,59.6,True,False
1784693059.088,34.5,59.4,True,False
1784693059.247,34.7,59.3,True,False
1784693059.407,34.8,59.4,True,False
1784693059.567,35.0,59.8,True,False
1784693059.727,35.2,59.2,True,False
1784693059.886,35.3,59.2,True,False
1784693060.059,35.5,72.0,True,False
1784693060.218,35.7,59.1,True,False
1784693060.378,35.8,60.0,True,False
1784693060.557,36.0,78.4,True,False
1784693060.716,36.2,59.0,True,False
1784693060.876,36.3,59.6,True,False
1784693061.036,36.5,59.3,True,False
1784693061.196,36.6,59.7,True,False
1784693061.364,36.8,68.1,True,False
1784693061.523,37.0,59.4,True,False
1784693061.683,37.1,59.2,True,False
1784693061.843,37.3,59.5,True,False
1784693062.003,37.4,59.2,True,False
1784693062.162,37.6,59.2,True,False
1784693062.321,37.8,58.8,True,False
1784693062.481,37.9,59.4,True,False
1784693062.640,38.1,59.0,True,False
1784693062.799,38.2,59.4,True,False
1784693062.959,38.4,59.5,True,False
1784693063.118,38.6,58.8,True,False
1784693063.278,38.7,59.2,True,False
1784693063.438,38.9,59.3,True,False
1784693063.598,39.0,59.6,True,False
1784693063.758,39.2,59.5,True,False
1784693063.917,39.4,59.6,True,False
1784693064.077,39.5,59.2,True,False
1784693064.237,39.7,60.0,True,False
1784693064.397,39.8,60.0,True,False
1784693064.557,40.0,59.6,True,False
1784693064.717,40.2,59.0,True,False
1784693064.877,40.3,59.6,True,False
1784693065.037,40.5,59.3,True,False
1784693065.196,40.6,59.2,True,False
1784693065.379,40.8,81.8,True,False
1784693065.538,41.0,59.6,True,False
1784693065.698,41.1,59.6,True,False
1784693065.858,41.3,59.6,True,False
1784693066.018,41.5,59.6,True,False
1784693066.179,41.6,60.6,True,False
1784693066.358,41.8,78.3,True,False
1784693066.517,42.0,59.5,True,False
1784693066.677,42.1,59.4,True,False
1784693066.836,42.3,59.1,True,False
1784693066.996,42.4,59.6,True,False
1784693067.155,42.6,59.2,True,False
1784693067.315,42.8,59.3,True,False
1784693067.474,42.9,58.9,True,False
1784693067.634,43.1,59.4,True,False
1784693067.794,43.2,59.5,True,False
1784693067.954,43.4,60.1,True,False
1784693068.114,43.6,58.9,True,False
1784693068.273,43.7,59.1,True,False
1784693068.432,43.9,59.3,True,False
1784693068.615,44.1,82.5,True,False
1784693068.775,44.2,59.2,True,False
1784693068.934,44.4,59.3,True,False
1784693069.094,44.5,59.3,True,False
1784693069.254,44.7,59.7,True,False
1784693069.414,44.9,59.5,True,False
1784693069.573,45.0,59.2,True,False
1784693069.733,45.2,59.3,True,False
1784693069.893,45.3,60.0,True,False
1784693070.053,45.5,59.6,True,False
1784693070.213,45.7,59.6,True,False
1784693070.373,45.8,59.3,True,False
1784693070.532,46.0,59.5,True,False
1784693070.692,46.1,59.1,True,False
1784693070.851,46.3,59.6,True,False
1784693071.011,46.5,59.7,True,False
1784693071.171,46.6,59.4,True,False
1784693071.340,46.8,69.1,True,False
1784693071.500,46.9,59.5,True,False
1784693071.683,47.1,82.2,True,False
1784693071.843,47.3,59.9,True,False
1784693072.003,47.4,59.8,True,False
1784693072.163,47.6,59.9,True,False
1784693072.324,47.8,60.0,True,False
1784693072.484,47.9,59.6,True,False
1784693072.643,48.1,59.5,True,False
1784693072.803,48.2,59.2,True,False
1784693072.963,48.4,59.8,True,False
1784693073.131,48.6,68.0,True,False
1784693073.291,48.7,59.6,True,False
1784693073.451,48.9,59.7,True,False
1784693073.611,49.0,59.5,True,False
1784693073.770,49.2,59.1,True,False
1784693073.930,49.4,59.3,True,False
1784693074.089,49.5,58.9,True,False
1784693074.249,49.7,59.4,True,False
1784693074.409,49.8,59.4,True,False
1784693074.568,50.0,59.2,True,False
1784693074.727,50.2,59.0,True,False
1784693074.887,50.3,59.3,True,False
1784693075.047,50.5,59.4,True,False
1784693075.207,50.6,59.5,True,False
1784693075.383,50.8,75.8,True,False
1784693075.553,51.0,69.5,True,False
1784693075.712,51.2,59.1,True,False
1784693075.871,51.3,58.9,True,False
1784693076.031,51.5,59.3,True,False
1784693076.190,51.6,59.3,True,False
1784693076.350,51.8,59.4,True,False
1784693076.510,51.9,59.5,True,False
1784693076.670,52.1,59.2,True,False
1784693076.841,52.3,70.8,True,False
1784693077.002,52.4,61.0,True,False
1784693077.163,52.6,60.2,True,False
1784693077.323,52.8,59.3,True,False
1784693077.482,52.9,59.3,True,False
1784693077.661,53.1,78.5,True,False
1784693077.821,53.3,59.2,True,False
1784693077.979,53.4,58.5,True,False
1784693078.139,53.6,59.1,True,False
1784693078.298,53.7,58.5,True,False
1784693078.458,53.9,59.5,True,False
1784693078.618,54.1,59.5,True,False
1784693078.777,54.2,59.2,True,False
1784693078.937,54.4,59.4,True,False
1784693079.096,54.5,59.3,True,False
1784693079.256,54.7,59.7,True,False
1784693079.416,54.9,59.6,True,False
1784693079.575,55.0,59.5,True,False
1784693079.751,55.2,75.0,True,False
1784693079.910,55.3,59.2,True,False
1784693080.070,55.5,59.7,True,False
1784693080.230,55.7,59.1,True,False
1784693080.390,55.8,59.7,True,False
1784693080.550,56.0,59.4,True,False
1784693080.733,56.2,82.5,True,False
1784693080.894,56.3,60.9,True,False
1784693081.076,56.5,82.1,True,False
1784693081.236,56.7,59.1,True,False
1784693081.395,56.8,59.0,True,False
1784693081.555,57.0,59.3,True,False
1784693081.715,57.2,59.5,True,False
1784693081.874,57.3,59.3,True,False
1784693082.034,57.5,59.4,True,False
1784693082.194,57.6,59.5,True,False
1784693082.367,57.8,72.3,True,False
1784693082.526,58.0,59.1,True,False
1784693082.706,58.1,79.2,True,False
1784693082.865,58.3,59.2,True,False
1784693083.047,58.5,82.1,True,False
1784693083.207,58.6,59.5,True,False
1784693083.367,58.8,60.0,True,False
1784693083.527,59.0,59.4,True,False
1784693083.687,59.1,59.0,True,False
1784693083.847,59.3,59.5,True,False
1784693084.007,59.4,59.7,True,False
1784693084.176,59.6,69.5,True,False
1784693084.346,59.8,69.3,True,False
1784693084.505,59.9,59.2,True,False
1784693084.686,60.1,80.8,True,False
1784693084.846,60.3,59.6,True,False
1784693085.006,60.4,59.2,True,False
1784693085.166,60.6,60.1,True,False
1784693085.326,60.8,59.4,True,False
1784693085.486,60.9,59.7,True,False
1784693085.646,61.1,59.6,True,False
1784693085.805,61.2,59.5,True,False
1784693085.965,61.4,59.7,True,False
1784693086.125,61.6,59.1,True,False
1784693086.285,61.7,59.8,True,False
1784693086.445,61.9,59.8,True,False
1784693086.628,62.1,83.3,True,False
1784693086.788,62.2,59.4,True,False
1784693086.947,62.4,58.2,True,False
1784693087.556,63.0,509.1,True,True
1784693087.724,63.2,67.5,True,False
1784693088.334,63.8,509.9,True,True
1784693088.493,63.9,58.7,True,False
1784693089.102,64.5,509.4,True,True
1784693089.262,64.7,59.2,True,False
1784693089.422,64.9,60.0,True,False
1784693089.582,65.0,59.1,True,False
1784693089.741,65.2,58.9,True,False
1784693089.900,65.3,58.8,True,False
1784693090.060,65.5,59.4,True,False
1784693090.219,65.7,59.2,True,False
1784693090.379,65.8,59.0,True,False
1784693090.539,66.0,59.8,True,False
1784693090.699,66.1,59.6,True,False
1784693090.858,66.3,58.8,True,False
1784693091.467,66.9,509.6,True,True
1784693091.627,67.1,59.5,True,False
1784693091.787,67.2,59.2,True,False
1784693091.947,67.4,59.4,True,False
1784693092.107,67.5,59.9,True,False
1784693092.266,67.7,59.1,True,False
1784693092.426,67.9,59.5,True,False
1784693092.604,68.0,78.0,True,False
1784693093.214,68.7,509.2,True,True
1784693093.374,68.8,59.4,True,False
1784693093.983,69.4,509.6,True,True
1784693094.143,69.6,59.5,True,False
1784693094.753,70.2,509.8,True,True
1784693094.913,70.4,59.1,True,False
1784693095.084,70.5,70.8,True,False
1784693095.244,70.7,59.4,True,False
1784693095.854,71.3,509.7,True,True
1784693096.013,71.5,59.2,True,False
1784693096.173,71.6,59.3,True,False
1784693096.782,72.2,509.2,True,True
1784693096.942,72.4,59.4,True,False
1784693097.552,73.0,510.2,True,True
1784693097.711,73.2,59.1,True,False
1784693097.872,73.3,59.6,True,False
1784693098.032,73.5,59.6,True,False
1784693098.191,73.6,59.2,True,False
1784693098.351,73.8,60.3,True,False
1784693098.511,73.9,59.0,True,False
1784693098.670,74.1,59.4,True,False
1784693098.830,74.3,59.4,True,False
1784693098.989,74.4,59.0,True,False
1784693099.149,74.6,60.2,True,False
1784693099.327,74.8,77.3,True,False
1784693099.487,74.9,59.5,True,False
1784693099.646,75.1,59.3,True,False
1784693099.806,75.2,59.3,True,False
1784693099.966,75.4,59.5,True,False
1784693100.127,75.6,61.2,True,False
1784693100.287,75.7,59.6,True,False
1784693100.447,75.9,59.5,True,False
1784693100.606,76.0,58.9,True,False
1784693101.216,76.7,509.4,True,True
1784693101.375,76.8,58.7,True,False
1784693101.534,77.0,58.9,True,False
1784693102.145,77.6,510.6,True,True
1784693102.304,77.7,59.5,True,False
1784693102.913,78.4,508.7,True,True
1784693103.072,78.5,58.7,True,False
1784693103.683,79.1,509.9,True,True
1784693103.842,79.3,58.4,True,False
1784693104.003,79.4,60.6,True,False
1784693104.612,80.1,508.5,True,True
1784693104.770,80.2,58.4,True,False
1784693104.928,80.4,58.3,True,False
1784693105.087,80.5,58.3,True,False
1784693105.247,80.7,59.4,True,False
1784693105.407,80.8,59.4,True,False
1784693105.575,81.0,68.7,True,False
1784693105.735,81.2,59.2,True,False
1784693105.893,81.3,58.4,True,False
1784693106.052,81.5,58.0,True,False
1784693106.211,81.6,58.9,True,False
1784693106.370,81.8,58.5,True,False
1784693106.529,82.0,58.9,True,False
1784693106.688,82.1,58.3,True,False
1784693106.847,82.3,58.6,True,False
1784693107.455,82.9,508.5,True,True
1784693107.615,83.1,58.7,True,False
1784693108.224,83.7,508.7,True,True
1784693108.384,83.8,59.0,True,False
1784693108.992,84.4,508.5,True,True
1784693109.151,84.6,58.7,True,False
1784693109.311,84.7,59.5,True,False
1784693109.470,84.9,58.8,True,False
1784693110.079,85.5,508.8,True,True
1784693110.239,85.7,59.8,True,False
1784693110.849,86.3,509.3,True,True
1784693111.008,86.4,58.5,True,False
1784693111.616,87.1,508.2,True,True
1784693111.775,87.2,59.0,True,False
1784693111.935,87.4,59.1,True,False
1784693112.108,87.5,73.0,True,False
1784693112.267,87.7,58.4,True,False
1784693112.426,87.9,59.3,True,False
1784693112.585,88.0,59.0,True,False
1784693112.744,88.2,58.1,True,False
1784693112.903,88.3,58.4,True,False
1784693113.061,88.5,58.4,True,False
1784693113.220,88.7,58.5,True,False
1784693113.379,88.8,58.7,True,False
1784693113.538,89.0,59.0,True,False
1784693113.697,89.1,59.0,True,False
1784693113.856,89.3,58.4,True,False
1784693114.015,89.5,58.8,True,False
1784693114.624,90.1,508.8,True,True
1784693114.783,90.2,59.0,True,False
1784693114.943,90.4,59.2,True,False
1784693115.102,90.5,59.0,True,False
1784693115.262,90.7,59.1,True,False
1784693115.421,90.9,58.7,True,False
1784693115.580,91.0,58.9,True,False
1784693116.189,91.6,508.8,True,True
1784693116.348,91.8,59.3,True,False
1784693116.507,91.9,58.6,True,False
1784693116.666,92.1,58.7,True,False
1784693116.826,92.3,59.0,True,False
1784693116.984,92.4,58.4,True,False
1784693117.165,92.6,80.1,True,False
1784693117.324,92.8,58.8,True,False
1784693117.483,92.9,58.1,True,False
1784693117.642,93.1,58.6,True,False
1784693117.812,93.3,70.2,True,False
1784693117.972,93.4,59.7,True,False
1784693118.131,93.6,58.4,True,False
1784693118.290,93.7,58.6,True,False
1784693118.449,93.9,59.7,True,False
1784693118.608,94.0,58.6,True,False
1784693118.767,94.2,58.8,True,False
1784693118.927,94.4,59.0,True,False
1784693119.086,94.5,58.5,True,False
1784693119.245,94.7,58.7,True,False
1784693119.404,94.8,58.9,True,False
1784693119.563,95.0,58.5,True,False
1784693119.722,95.2,58.7,True,False
1784693119.880,95.3,58.3,True,False
1784693120.489,95.9,508.4,True,True
1784693120.648,96.1,58.4,True,False
1784693120.807,96.2,58.4,True,False
1784693120.966,96.4,58.8,True,False
1784693121.126,96.6,59.4,True,False
1784693121.294,96.7,67.7,True,False
1784693121.903,97.3,508.3,True,True
1784693122.062,97.5,58.4,True,False
1784693122.671,98.1,508.7,True,True
1784693122.838,98.3,66.7,True,False
1784693123.447,98.9,509.0,True,True
1784693123.606,99.0,58.8,True,False
1784693124.216,99.7,509.9,True,True
1784693124.375,99.8,59.1,True,False
1784693124.535,100.0,59.6,True,False
1784693125.144,100.6,508.8,True,True
1784693125.303,100.7,58.6,True,False
1784693125.912,101.4,508.9,True,True
1784693126.071,101.5,58.7,True,False
1784693126.681,102.1,509.6,True,True
1784693126.839,102.3,58.0,True,False
1784693127.448,102.9,508.4,True,True
1784693127.607,103.0,59.1,True,False
1784693127.766,103.2,58.7,True,False
1784693127.924,103.4,58.2,True,False
1784693128.083,103.5,58.6,True,False
1784693128.242,103.7,59.0,True,False
1784693128.401,103.8,58.8,True,False
1784693128.561,104.0,59.2,True,False
1784693128.720,104.2,58.7,True,False
1784693128.880,104.3,59.1,True,False
1784693129.039,104.5,58.8,True,False
1784693129.198,104.6,58.9,True,False
1784693129.358,104.8,59.6,True,False
1784693129.516,105.0,58.2,True,False
1784693129.675,105.1,58.3,True,False
1784693129.834,105.3,58.3,True,False
1784693129.992,105.4,58.3,True,False
1784693130.152,105.6,58.9,True,False
1784693130.310,105.7,58.6,True,False
1784693130.469,105.9,58.7,True,False
1784693130.628,106.1,58.7,True,False
1784693130.788,106.2,59.4,True,False
1784693130.958,106.4,69.7,True,False
1784693131.567,107.0,508.3,True,True
1784693131.750,107.2,83.4,True,False
1784693132.359,107.8,508.7,True,True
1784693132.519,108.0,59.7,True,False
1784693133.128,108.6,508.5,True,True
1784693133.287,108.7,58.4,True,False
1784693133.447,108.9,59.2,True,False
1784693133.606,109.0,58.6,True,False
1784693133.764,109.2,58.5,True,False
1784693133.922,109.4,58.0,True,False
1784693134.082,109.5,59.0,True,False
1784693134.241,109.7,58.7,True,False
1784693134.399,109.8,58.6,True,False
1784693135.008,110.4,508.6,True,True
1784693135.167,110.6,58.7,True,False
1784693135.776,111.2,508.4,True,True
1784693135.935,111.4,59.2,True,False
1784693136.095,111.5,59.6,True,False
1784693136.254,111.7,58.2,True,False
1784693136.413,111.9,59.3,True,False
1784693136.572,112.0,58.7,True,False
1784693136.730,112.2,58.0,True,False
1784693136.890,112.3,59.5,True,False
1784693137.519,113.0,528.6,True,True
1784693137.692,113.1,72.5,True,False
1784693138.311,113.8,519.1,True,True
1784693138.470,113.9,58.8,True,False
1784693138.629,114.1,58.3,True,False
1784693138.807,114.2,78.0,True,False
1784693138.965,114.4,58.1,True,False
1784693139.124,114.6,58.4,True,False
1784693139.283,114.7,59.1,True,False
1784693139.443,114.9,58.9,True,False
1784693139.602,115.0,59.4,True,False
1784693139.761,115.2,58.9,True,False
1784693140.371,115.8,508.7,True,True
1784693140.540,116.0,68.7,True,False
1784693141.148,116.6,508.4,True,True
1784693141.308,116.7,59.0,True,False
1784693141.917,117.4,509.4,True,True
1784693142.076,117.5,58.6,True,False
1784693142.251,117.7,75.2,True,False
1784693142.411,117.8,59.4,True,False
1784693142.593,118.0,81.5,True,False
1784693143.202,118.6,508.9,True,True
1784693143.361,118.8,58.6,True,False
1784693143.970,119.4,508.8,True,True
1784693144.139,119.6,68.6,True,False
1784693144.298,119.7,58.5,True,False
1784693144.458,119.9,59.2,True,False
1784693144.617,120.1,58.7,True,False
1784693144.776,120.2,58.9,True,False
1784693145.385,120.8,509.0,True,True
1784693145.544,121.0,59.0,True,False
1784693146.166,121.6,520.9,True,True
1784693146.335,121.8,69.6,True,False
1784693146.945,122.4,509.2,True,True
1784693147.103,122.5,58.4,True,False
1784693147.263,122.7,59.3,True,False
1784693147.422,122.9,58.9,True,False
1784693147.582,123.0,59.2,True,False
1784693147.742,123.2,59.4,True,False
1784693147.900,123.3,58.6,True,False
1784693148.059,123.5,58.9,True,False
1784693148.669,124.1,509.2,True,True
1784693148.828,124.3,58.7,True,False
1784693148.986,124.4,58.3,True,False
1784693149.145,124.6,59.0,True,False
1784693149.754,125.2,508.6,True,True
1784693149.914,125.4,59.5,True,False
1784693150.540,126.0,525.5,True,True
1784693150.699,126.1,58.5,True,False
1784693151.308,126.7,508.7,True,True
1784693151.467,126.9,58.6,True,False
1784693152.076,127.5,508.5,True,True
1784693152.254,127.7,77.9,True,False
1784693152.863,128.3,508.6,True,True
1784693153.022,128.5,59.1,True,False
1784693153.183,128.6,59.6,True,False
1784693153.791,129.2,508.3,True,True
1784693153.950,129.4,58.2,True,False
1784693154.559,130.0,508.6,True,True
