cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-21T04:46:40.874001,0.3,67.1,0.00,False,NONE,2,2
2,2026-07-21T04:46:46.239260,5.7,68.6,0.00,False,NONE,2,2
3,2026-07-21T04:46:51.553814,11.0,61.8,0.00,False,NONE,2,2
4,2026-07-21T04:46:56.939582,16.4,71.2,0.00,False,NONE,2,2
5,2026-07-21T04:47:02.292417,21.8,69.6,0.00,False,NONE,2,2
6,2026-07-21T04:47:07.669032,27.1,74.0,0.00,False,NONE,3,3
7,2026-07-21T04:47:12.969145,32.4,59.0,0.00,False,NONE,2,2
8,2026-07-21T04:47:18.326115,37.8,66.2,0.00,False,NONE,2,2
9,2026-07-21T04:47:23.641767,43.1,59.8,0.00,False,NONE,2,2
10,2026-07-21T04:47:28.970609,48.4,61.9,0.00,False,NONE,2,2
11,2026-07-21T04:47:34.355265,53.8,71.8,0.00,False,NONE,2,2
12,2026-07-21T04:47:39.721371,59.2,72.1,0.00,False,NONE,2,2
13,2026-07-21T04:47:45.041426,64.5,58.5,0.00,False,NONE,2,2
14,2026-07-21T04:47:51.305584,70.8,244.3,0.00,True,SCALE_UP,2,18
15,2026-07-21T04:47:58.018371,77.5,335.7,0.00,True,SCALE_UP,2,14
16,2026-07-21T04:48:04.725629,84.2,333.4,0.00,True,SCALE_UP,2,14
17,2026-07-21T04:48:11.398826,90.9,328.2,0.00,True,SCALE_UP,2,14
18,2026-07-21T04:48:16.747869,96.2,64.5,0.00,False,NONE,2,2
19,2026-07-21T04:48:22.972740,102.4,239.1,0.00,True,SCALE_UP,3,15
20,2026-07-21T04:48:29.673583,109.1,332.1,0.00,True,SCALE_UP,2,13
21,2026-07-21T04:48:35.906844,115.4,238.4,0.00,True,SCALE_UP,2,13
22,2026-07-21T04:48:42.666827,122.1,344.1,0.00,True,SCALE_UP,2,13
23,2026-07-21T04:48:48.942870,128.4,247.8,0.00,True,SCALE_UP,2,14
24,2026-07-21T04:48:55.652895,135.1,333.9,0.00,True,SCALE_UP,2,16
25,2026-07-21T04:49:01.915459,141.4,245.0,0.00,True,SCALE_UP,2,13
