cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-21T00:54:11.046583,0.4,74.2,0.00,False,NONE,2,2
2,2026-07-21T00:54:16.361591,5.7,59.3,0.00,False,NONE,2,2
3,2026-07-21T00:54:21.734708,11.1,69.2,0.00,False,NONE,2,2
4,2026-07-21T00:54:27.035451,16.4,59.0,0.00,False,NONE,2,2
5,2026-07-21T00:54:32.352990,21.7,59.1,0.00,False,NONE,2,2
6,2026-07-21T00:54:37.654197,27.0,59.0,0.00,False,NONE,2,2
7,2026-07-21T00:54:42.989955,32.3,66.0,0.00,False,NONE,2,2
8,2026-07-21T00:54:48.290843,37.6,58.9,0.00,False,NONE,2,2
9,2026-07-21T00:54:53.592547,42.9,59.2,0.00,False,NONE,2,2
10,2026-07-21T00:54:58.930218,48.3,61.3,0.00,False,NONE,2,2
11,2026-07-21T00:55:04.231733,53.6,59.1,0.00,False,NONE,3,3
12,2026-07-21T00:55:09.534230,58.9,59.2,0.00,False,NONE,3,3
13,2026-07-21T00:55:15.779805,65.1,239.2,0.00,True,SCALE_UP,2,24
14,2026-07-21T00:55:22.461613,71.8,332.3,0.00,True,SCALE_UP,2,16
15,2026-07-21T00:55:27.820538,77.2,70.6,0.00,False,NONE,2,2
16,2026-07-21T00:55:33.132680,82.5,59.1,0.00,False,NONE,2,2
17,2026-07-21T00:55:39.367466,88.7,242.8,0.00,True,SCALE_UP,2,17
18,2026-07-21T00:55:46.038962,95.4,329.7,0.00,True,SCALE_UP,3,19
19,2026-07-21T00:55:53.154048,102.5,419.4,0.00,True,SCALE_UP,2,14
20,2026-07-21T00:55:59.369057,108.7,238.9,0.00,True,SCALE_UP,2,16
21,2026-07-21T00:56:04.680348,114.0,61.2,0.00,False,NONE,2,2
22,2026-07-21T00:56:10.896128,120.2,239.3,0.00,True,SCALE_UP,2,15
23,2026-07-21T00:56:17.130953,126.5,239.5,0.00,True,SCALE_UP,2,16
24,2026-07-21T00:56:23.348702,132.7,239.2,0.00,True,SCALE_UP,2,18
25,2026-07-21T00:56:29.576451,138.9,239.4,0.00,True,SCALE_UP,4,26
26,2026-07-21T00:56:35.797123,145.1,239.2,0.00,True,SCALE_UP,3,20
27,2026-07-21T00:56:42.012590,151.3,239.2,0.00,True,SCALE_UP,2,16
28,2026-07-21T00:56:48.230356,157.6,239.3,0.00,True,SCALE_UP,3,17
29,2026-07-21T00:56:54.897573,164.2,329.3,0.00,True,SCALE_UP,2,17
30,2026-07-21T00:57:01.106918,170.4,237.4,0.20,True,SCALE_UP,3,18
31,2026-07-21T00:57:06.422240,175.8,59.2,0.00,False,NONE,2,2
32,2026-07-21T00:57:12.584032,181.9,228.4,0.20,True,SCALE_UP,2,16
33,2026-07-21T00:57:17.899897,187.2,59.1,0.00,False,NONE,3,3
34,2026-07-21T00:57:24.063130,193.4,228.6,0.20,True,SCALE_UP,2,16
35,2026-07-21T00:57:29.690598,199.0,120.6,0.60,True,FALLBACK,4,4
36,2026-07-21T00:57:35.905397,205.2,238.8,0.00,True,SCALE_UP,2,16
37,2026-07-21T00:57:42.981145,212.3,410.7,0.20,True,SCALE_UP,3,18
38,2026-07-21T00:57:49.221728,218.6,243.7,0.00,True,SCALE_UP,2,18
39,2026-07-21T00:57:54.880671,224.2,130.4,0.40,True,RETRY,3,3
40,2026-07-21T00:58:02.017272,231.4,423.2,0.00,True,SCALE_UP,2,17
