ts,elapsed_s,latency_ms,ok,sla_violated
1784596247.546,0.1,87.0,True,False
1784596247.728,0.3,82.1,True,False
1784596247.898,0.4,69.4,True,False
1784596248.058,0.6,59.9,True,False
1784596248.218,0.8,59.6,True,False
1784596248.379,0.9,59.9,True,False
1784596248.538,1.1,59.7,True,False
1784596248.698,1.2,59.1,True,False
1784596248.858,1.4,59.9,True,False
1784596249.017,1.6,59.1,True,False
1784596249.177,1.7,59.6,True,False
1784596249.350,1.9,72.7,True,False
1784596249.521,2.1,70.1,True,False
1784596249.680,2.2,58.9,True,False
1784596249.840,2.4,59.6,True,False
1784596249.999,2.5,59.0,True,False
1784596250.159,2.7,59.6,True,False
1784596250.319,2.9,59.3,True,False
1784596250.478,3.0,58.9,True,False
1784596250.651,3.2,73.0,True,False
1784596250.811,3.4,59.6,True,False
1784596250.971,3.5,59.4,True,False
1784596251.130,3.7,59.6,True,False
1784596251.291,3.8,60.3,True,False
1784596251.452,4.0,60.5,True,False
1784596251.612,4.2,59.6,True,False
1784596251.772,4.3,60.2,True,False
1784596251.933,4.5,60.4,True,False
1784596252.093,4.6,59.8,True,False
1784596252.254,4.8,60.3,True,False
1784596252.414,5.0,59.7,True,False
1784596252.574,5.1,59.5,True,False
1784596252.734,5.3,59.3,True,False
1784596252.893,5.4,59.2,True,False
1784596253.053,5.6,58.9,True,False
1784596253.230,5.8,76.9,True,False
1784596253.389,5.9,59.1,True,False
1784596253.549,6.1,60.2,True,False
1784596253.728,6.3,78.2,True,False
1784596253.890,6.4,61.3,True,False
1784596254.050,6.6,60.2,True,False
1784596254.210,6.8,59.5,True,False
1784596254.370,6.9,59.6,True,False
1784596254.530,7.1,59.3,True,False
1784596254.689,7.2,59.3,True,False
1784596254.850,7.4,60.4,True,False
1784596255.010,7.6,59.2,True,False
1784596255.169,7.7,59.0,True,False
1784596255.329,7.9,59.1,True,False
1784596255.488,8.0,59.1,True,False
1784596255.662,8.2,73.8,True,False
1784596255.821,8.4,59.1,True,False
1784596256.005,8.5,83.3,True,False
1784596256.165,8.7,59.5,True,False
1784596256.325,8.9,59.5,True,False
1784596256.484,9.0,59.1,True,False
1784596256.643,9.2,59.0,True,False
1784596256.803,9.3,59.7,True,False
1784596256.963,9.5,59.4,True,False
1784596257.122,9.7,58.7,True,False
1784596257.281,9.8,58.7,True,False
1784596257.460,10.0,78.5,True,False
1784596257.619,10.2,58.9,True,False
1784596257.778,10.3,59.5,True,False
1784596257.938,10.5,59.5,True,False
1784596258.097,10.6,59.0,True,False
1784596258.257,10.8,59.1,True,False
1784596258.437,11.0,79.5,True,False
1784596258.596,11.1,59.3,True,False
1784596258.755,11.3,59.2,True,False
1784596258.915,11.5,59.2,True,False
1784596259.075,11.6,59.6,True,False
1784596259.235,11.8,59.8,True,False
1784596259.395,11.9,59.6,True,False
1784596259.556,12.1,60.5,True,False
1784596259.716,12.3,59.7,True,False
1784596259.876,12.4,59.6,True,False
1784596260.035,12.6,58.8,True,False
1784596260.195,12.7,59.3,True,False
1784596260.354,12.9,59.1,True,False
1784596260.515,13.1,59.4,True,False
1784596260.674,13.2,58.9,True,False
1784596260.833,13.4,58.6,True,False
1784596260.992,13.5,59.5,True,False
1784596261.152,13.7,59.5,True,False
1784596261.333,13.9,80.5,True,False
1784596261.493,14.0,59.1,True,False
1784596261.651,14.2,58.5,True,False
1784596261.810,14.4,59.0,True,False
1784596261.970,14.5,59.0,True,False
1784596262.129,14.7,59.5,True,False
1784596262.290,14.8,60.1,True,False
1784596262.449,15.0,58.9,True,False
1784596262.609,15.1,59.2,True,False
1784596262.768,15.3,59.2,True,False
1784596262.928,15.5,59.3,True,False
1784596263.088,15.6,59.3,True,False
1784596263.247,15.8,58.9,True,False
1784596263.407,15.9,59.3,True,False
1784596263.566,16.1,58.8,True,False
1784596263.725,16.3,59.3,True,False
1784596263.884,16.4,59.1,True,False
