cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-21T01:44:00.289930,0.4,70.6,0.00,False,NONE,2,2
2,2026-07-21T01:44:05.640962,5.7,66.0,0.00,False,NONE,2,2
3,2026-07-21T01:44:10.950637,11.0,60.7,0.00,False,NONE,2,2
4,2026-07-21T01:44:16.262994,16.4,61.4,0.00,False,NONE,2,2
5,2026-07-21T01:44:21.578800,21.7,62.1,0.00,False,NONE,2,2
6,2026-07-21T01:44:26.880105,27.0,58.9,0.00,False,NONE,3,3
7,2026-07-21T01:44:32.258364,32.4,74.5,0.00,False,NONE,2,2
8,2026-07-21T01:44:37.598149,37.7,66.8,0.00,False,NONE,2,2
9,2026-07-21T01:44:42.954470,43.1,65.8,0.00,False,NONE,2,2
10,2026-07-21T01:44:48.271391,48.4,62.3,0.00,False,NONE,2,2
11,2026-07-21T01:44:53.615361,53.7,65.4,0.00,False,NONE,2,2
12,2026-07-21T01:44:58.945984,59.0,62.8,0.00,False,NONE,2,2
13,2026-07-21T01:45:04.245250,64.3,58.8,0.00,False,NONE,2,2
14,2026-07-21T01:45:10.473774,70.6,241.1,0.00,True,SCALE_UP,2,19
15,2026-07-21T01:45:17.148664,77.2,331.3,0.00,True,SCALE_UP,2,15
16,2026-07-21T01:45:23.840548,83.9,334.8,0.00,True,SCALE_UP,3,14
17,2026-07-21T01:45:30.051452,90.1,238.5,0.00,True,SCALE_UP,2,14
18,2026-07-21T01:45:35.390569,95.5,66.6,0.00,False,NONE,2,2
19,2026-07-21T01:45:40.712738,100.8,63.3,0.00,False,NONE,2,2
20,2026-07-21T01:45:46.010066,106.1,58.4,0.00,False,NONE,2,2
21,2026-07-21T01:45:52.705884,112.8,334.9,0.00,True,SCALE_UP,2,17
22,2026-07-21T01:45:58.022911,118.1,62.3,0.00,False,NONE,2,2
23,2026-07-21T01:46:03.320909,123.4,58.5,0.00,False,NONE,2,2
24,2026-07-21T01:46:08.659191,128.8,66.5,0.00,False,NONE,2,2
25,2026-07-21T01:46:14.003683,134.1,67.8,0.00,False,NONE,2,2
26,2026-07-21T01:46:19.303212,139.4,58.7,0.00,False,NONE,2,2
27,2026-07-21T01:46:24.646863,144.7,67.7,0.00,False,NONE,2,2
28,2026-07-21T01:46:29.958163,150.1,61.0,0.00,False,NONE,3,3
29,2026-07-21T01:46:35.271888,155.4,59.0,0.00,False,NONE,2,2
30,2026-07-21T01:46:40.546076,160.6,53.6,0.20,True,RETRY,2,2
31,2026-07-21T01:46:45.824958,165.9,54.6,0.20,True,RETRY,2,2
32,2026-07-21T01:46:51.136916,171.2,61.3,0.00,False,NONE,2,2
33,2026-07-21T01:46:56.403817,176.5,52.3,0.20,True,RETRY,2,2
34,2026-07-21T01:47:01.595036,181.7,37.1,0.40,True,RETRY,2,2
35,2026-07-21T01:47:06.904016,187.0,58.3,0.00,False,NONE,2,2
36,2026-07-21T01:47:12.213022,192.3,60.7,0.00,False,NONE,2,2
37,2026-07-21T01:47:17.525570,197.6,58.3,0.00,False,NONE,2,2
38,2026-07-21T01:47:22.861445,203.0,62.9,0.00,False,NONE,2,2
39,2026-07-21T01:47:27.964709,208.1,15.6,0.80,True,FALLBACK,2,2
40,2026-07-21T01:47:33.233493,213.3,48.1,0.20,True,RETRY,2,2
41,2026-07-21T01:47:38.548773,218.6,62.0,0.00,False,NONE,2,2
42,2026-07-21T01:47:43.870207,224.0,63.2,0.00,False,NONE,2,2
43,2026-07-21T01:47:49.183965,229.3,58.9,0.00,False,NONE,2,2
44,2026-07-21T01:47:54.500932,234.6,62.0,0.00,False,NONE,2,2
45,2026-07-21T01:47:59.765125,239.9,51.7,0.20,True,RETRY,2,2
46,2026-07-21T01:48:07.333233,247.4,508.9,0.00,True,SCALE_UP,2,20
47,2026-07-21T01:48:15.654888,255.8,660.9,0.00,True,SCALE_UP,2,13
48,2026-07-21T01:48:22.436055,262.5,348.2,0.20,True,SCALE_UP,2,14
49,2026-07-21T01:48:29.996377,270.1,508.7,0.00,True,SCALE_UP,2,13
50,2026-07-21T01:48:35.338141,275.4,67.1,0.00,False,NONE,2,2
51,2026-07-21T01:48:40.593582,280.7,50.0,0.20,True,RETRY,2,2
52,2026-07-21T01:48:47.343096,287.4,341.6,0.40,True,SCALE_UP,2,14
53,2026-07-21T01:48:52.570963,292.7,40.5,0.40,True,RETRY,2,2
54,2026-07-21T01:48:59.404780,299.5,363.2,0.00,True,SCALE_UP,2,14
55,2026-07-21T01:49:06.967431,307.1,508.9,0.00,True,SCALE_UP,2,15
56,2026-07-21T01:49:12.292701,312.4,61.4,0.00,False,NONE,3,3
57,2026-07-21T01:49:17.514852,317.6,40.2,0.40,True,RETRY,2,2
58,2026-07-21T01:49:22.785344,322.9,48.0,0.20,True,RETRY,2,2
59,2026-07-21T01:49:28.118945,328.2,65.5,0.00,False,NONE,2,2
60,2026-07-21T01:49:40.568747,340.7,1486.4,0.00,True,SCALE_UP,2,14
61,2026-07-21T01:49:52.495057,352.6,1381.9,0.20,True,SCALE_UP,2,13
62,2026-07-21T01:50:04.942998,365.0,1481.5,0.00,True,SCALE_UP,3,17
63,2026-07-21T01:50:13.353692,373.5,681.0,0.60,True,FALLBACK,2,2
64,2026-07-21T01:50:21.767802,381.9,681.6,0.60,True,FALLBACK,3,3
65,2026-07-21T01:50:33.902704,394.0,1419.4,0.20,True,SCALE_UP,2,16
66,2026-07-21T01:50:42.939191,403.0,802.6,0.40,True,SCALE_UP,3,20
67,2026-07-21T01:50:54.650198,414.7,1335.2,0.00,True,SCALE_UP,2,16
68,2026-07-21T01:51:06.994776,427.1,1464.0,0.00,True,SCALE_UP,3,20
69,2026-07-21T01:51:19.884409,440.0,1573.8,0.00,True,SCALE_UP,3,17
70,2026-07-21T01:51:33.188188,453.3,1657.0,0.00,True,SCALE_UP,2,15
71,2026-07-21T01:51:45.650932,465.7,1489.0,0.00,True,SCALE_UP,2,14
72,2026-07-21T01:51:58.691356,478.8,1604.6,0.00,True,SCALE_UP,2,14
73,2026-07-21T01:52:12.626202,492.7,1782.5,0.00,True,SCALE_UP,2,18
74,2026-07-21T01:52:21.623902,501.7,795.8,0.40,True,SCALE_UP,3,15
