cycle,timestamp_iso,elapsed_s,avg_latency_ms,error_rate,is_anomaly,action,inference_ms,total_cycle_ms
1,2026-07-21T03:56:52.857377,0.4,71.3,0.00,False,NONE,3,3
2,2026-07-21T03:56:58.237142,5.8,70.5,0.00,False,NONE,2,2
3,2026-07-21T03:57:03.616333,11.1,70.7,0.00,False,NONE,2,2
4,2026-07-21T03:57:09.004511,16.5,72.8,0.00,False,NONE,2,2
5,2026-07-21T03:57:14.357866,21.9,65.4,0.00,False,NONE,2,2
6,2026-07-21T03:57:19.689982,27.2,65.4,0.00,False,NONE,2,2
7,2026-07-21T03:57:25.022614,32.6,63.3,0.00,False,NONE,2,2
8,2026-07-21T03:57:30.369551,37.9,66.0,0.00,False,NONE,3,3
9,2026-07-21T03:57:35.689539,43.2,62.9,0.00,False,NONE,2,2
10,2026-07-21T03:57:41.070532,48.6,71.2,0.00,False,NONE,2,2
11,2026-07-21T03:57:46.439248,54.0,72.7,0.00,False,NONE,2,2
12,2026-07-21T03:57:51.818478,59.3,70.7,0.00,False,NONE,2,2
13,2026-07-21T03:57:58.093284,65.6,246.6,0.00,True,SCALE_UP,2,17
14,2026-07-21T03:58:04.336538,71.9,243.0,0.00,True,SCALE_UP,2,13
15,2026-07-21T03:58:10.624666,78.2,250.5,0.00,True,SCALE_UP,2,13
16,2026-07-21T03:58:18.241012,85.8,516.1,0.00,True,SCALE_UP,2,13
17,2026-07-21T03:58:23.589277,91.1,68.6,0.00,False,NONE,2,2
18,2026-07-21T03:58:30.313302,97.8,341.5,0.00,True,SCALE_UP,2,13
19,2026-07-21T03:58:36.996500,104.5,333.2,0.00,True,SCALE_UP,2,13
20,2026-07-21T03:58:43.256700,110.8,244.6,0.00,True,SCALE_UP,2,13
21,2026-07-21T03:58:49.491213,117.0,238.8,0.00,True,SCALE_UP,2,13
22,2026-07-21T03:58:55.750088,123.3,244.8,0.00,True,SCALE_UP,2,13
23,2026-07-21T03:59:01.046758,128.6,58.2,0.00,False,NONE,2,2
24,2026-07-21T03:59:06.363435,133.9,62.2,0.00,False,NONE,2,2
25,2026-07-21T03:59:11.703499,139.2,66.9,0.00,False,NONE,2,2
26,2026-07-21T03:59:18.375113,145.9,331.0,0.00,True,SCALE_UP,2,13
27,2026-07-21T03:59:23.684244,151.2,58.4,0.00,False,NONE,2,2
28,2026-07-21T03:59:28.995605,156.5,57.4,0.20,True,RETRY,2,2
29,2026-07-21T03:59:34.296457,161.8,55.1,0.20,True,RETRY,2,2
